clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Bend_pickup_lowLight,31,,Standing,,0.967,0.0,696.2136
Bend_pickup_lowLight,32,,Standing,,0.967,0.0,141.1229
Bend_pickup_lowLight,33,,Standing,,0.967,0.0,119.1944
Bend_pickup_lowLight,34,,Standing,,0.968,0.0,133.7264
Bend_pickup_lowLight,35,,Standing,,0.967,0.0,138.9458
Bend_pickup_lowLight,36,,Standing,,0.969,0.0,120.3839
Bend_pickup_lowLight,37,,Standing,,0.97,0.0,137.877
Bend_pickup_lowLight,38,,Standing,,0.972,0.0,147.5173
Bend_pickup_lowLight,39,,Standing,,0.973,0.0,145.3243
Bend_pickup_lowLight,40,,Standing,,0.975,0.0,133.496
Bend_pickup_lowLight,41,,Standing,,0.98,0.0,135.6517
Bend_pickup_lowLight,42,,Standing,,0.984,0.0,128.6178
Bend_pickup_lowLight,43,,Standing,,0.988,0.0,125.6109
Bend_pickup_lowLight,44,,Standing,,0.992,0.0,119.5322
Bend_pickup_lowLight,45,,Standing,,0.994,0.0,124.2874
Bend_pickup_lowLight,46,,Standing,,0.981,0.0,120.04
Bend_pickup_lowLight,47,,Standing,,0.94,0.0,127.6719
Bend_pickup_lowLight,48,,Standing,,0.767,0.0,129.3923
Bend_pickup_lowLight,49,,Standing,,0.429,0.0,127.1997
Bend_pickup_lowLight,50,,Standing,,0.385,0.0,119.1627
Bend_pickup_lowLight,51,,Lying,,0.752,0.0,122.9315
Bend_pickup_lowLight,52,,Lying,,0.917,0.0,130.6577
Bend_pickup_lowLight,53,,Lying,,0.943,0.0,126.9861
Bend_pickup_lowLight,54,,Lying,,0.95,0.0,131.5407
Bend_pickup_lowLight,55,,Lying,,0.941,0.0,125.7883
Bend_pickup_lowLight,56,,Lying,,0.9,0.0,134.1971
Bend_pickup_lowLight,57,,Lying,,0.86,0.0,128.8273
Bend_pickup_lowLight,58,,Lying,,0.779,0.0,127.8664
Bend_pickup_lowLight,59,,Lying,,0.725,0.0,102.5951
Bend_pickup_lowLight,60,,Lying,,0.674,0.0,107.455
Bend_pickup_lowLight,61,,Lying,,0.627,0.0,112.3061
Bend_pickup_lowLight,62,,Lying,,0.571,0.0,118.8881
Bend_pickup_lowLight,63,,Lying,,0.535,0.0,115.6497
Bend_pickup_lowLight,64,,Lying,,0.485,0.0,140.8794
Bend_pickup_lowLight,65,,Lying,,0.482,0.0,175.3061
Bend_pickup_lowLight,66,,Lying,,0.527,0.0,150.6431
Bend_pickup_lowLight,67,,Lying,,0.57,0.0,127.1154
Bend_pickup_lowLight,68,,Lying,,0.578,0.0,135.973
Bend_pickup_lowLight,69,,Lying,,0.444,0.0,138.387
Bend_pickup_lowLight,70,,Lying,,0.828,0.0,125.0873
Bend_pickup_lowLight,71,,Lying,,0.906,0.0,128.5825
Bend_pickup_lowLight,72,,Lying,,0.957,0.0,146.6958
Bend_pickup_lowLight,73,,Lying,,0.985,0.0,141.5949
Bend_pickup_lowLight,74,,Lying,,0.992,0.0,123.9206
Bend_pickup_lowLight,75,,Lying,,0.993,0.0,113.4756
Bend_pickup_lowLight,76,,Lying,,0.992,0.0,117.6274
Bend_pickup_lowLight,77,,Lying,,0.993,0.0,99.2228
Bend_pickup_lowLight,78,,Lying,,0.992,0.0,99.4778
Bend_pickup_lowLight,79,,Lying,,0.963,0.0,100.5627
Bend_pickup_lowLight,80,,Lying,,0.982,0.0,103.2853
Bend_pickup_lowLight,81,,Lying,,0.948,0.0,105.7453
Bend_pickup_lowLight,82,,Lying,,0.888,0.0,101.765
Bend_pickup_lowLight,83,,Lying,,0.852,0.0,108.4748
Bend_pickup_lowLight,84,,Lying,,0.82,0.0,84.8651
Bend_pickup_lowLight,85,,Lying,,0.788,0.0,113.9373
Bend_pickup_lowLight,86,,Lying,,0.787,0.0,116.9198
Bend_pickup_lowLight,87,,Lying,,0.752,0.0,108.779
Bend_pickup_lowLight,88,,Lying,,0.762,0.0,97.6817
Bend_pickup_lowLight,89,,Lying,,0.746,0.0,94.031
Bend_pickup_lowLight,90,,Lying,,0.705,0.0,91.406
Bend_pickup_lowLight,91,,Lying,,0.613,0.0,97.9171
Bend_pickup_lowLight,92,Standing,Lying,False,0.513,0.0,86.8692
Bend_pickup_lowLight,93,Standing,Standing,True,0.588,0.0,96.2494
Bend_pickup_lowLight,94,Standing,Standing,True,0.714,0.0,106.2915
Bend_pickup_lowLight,95,Standing,Standing,True,0.841,0.0,99.2407
Bend_pickup_lowLight,96,Standing,Standing,True,0.892,0.0,95.7942
Bend_pickup_lowLight,97,Standing,Standing,True,0.95,0.0,111.7238
Bend_pickup_lowLight,98,Standing,Standing,True,0.96,0.0,135.2077
Bend_pickup_lowLight,99,Standing,Standing,True,0.961,0.0,138.7628
Bend_pickup_lowLight,100,Standing,Standing,True,0.961,0.0,162.1748
Bend_pickup_lowLight,101,Standing,Standing,True,0.962,0.0,161.7951
Bend_pickup_lowLight,102,Standing,Standing,True,0.962,0.0,161.3735
Bend_pickup_lowLight,103,Standing,Standing,True,0.962,0.0,147.3136
Bend_pickup_lowLight,104,Standing,Standing,True,0.962,0.0,141.7046
Bend_pickup_lowLight,105,Standing,Standing,True,0.963,0.0,150.122
Bend_pickup_lowLight,106,Standing,Standing,True,0.962,0.0,151.9358
Bend_pickup_lowLight,107,Standing,Standing,True,0.962,0.0,142.621
Bend_pickup_lowLight,108,Standing,Standing,True,0.962,0.0,145.4082
Bend_pickup_lowLight,109,Standing,Standing,True,0.962,0.0,145.2462
Bend_pickup_lowLight,110,Standing,Standing,True,0.961,0.0,137.0745
Bend_pickup_lowLight,111,Standing,Standing,True,0.961,0.0,146.098
Bend_pickup_lowLight,112,Standing,Standing,True,0.961,0.0,127.891
Bend_pickup_lowLight,113,Standing,Standing,True,0.961,0.0,131.5177
Bend_pickup_lowLight,114,Standing,Standing,True,0.961,0.0,126.5072
Bend_pickup_lowLight_leftRight,31,,Standing,,0.985,0.0,133.6727
Bend_pickup_lowLight_leftRight,32,,Standing,,0.98,0.0,131.1207
Bend_pickup_lowLight_leftRight,33,,Standing,,0.972,0.0,107.7833
Bend_pickup_lowLight_leftRight,34,,Standing,,0.956,0.0,115.8604
Bend_pickup_lowLight_leftRight,35,,Standing,,0.886,0.0,104.9227
Bend_pickup_lowLight_leftRight,36,,Standing,,0.693,0.0,112.1036
Bend_pickup_lowLight_leftRight,37,,Sitting,,0.62,0.0,138.7089
Bend_pickup_lowLight_leftRight,38,,Sitting,,0.84,0.0,160.0773
Bend_pickup_lowLight_leftRight,39,,Sitting,,0.926,0.0,180.3145
