clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Bend_pickup_lowLight,31,,Unknown,,0.604,0.0,552.4031
Bend_pickup_lowLight,32,,Unknown,,0.628,0.0,125.0172
Bend_pickup_lowLight,33,,Unknown,,0.662,0.0,109.1269
Bend_pickup_lowLight,34,,Unknown,,0.677,0.0,122.5456
Bend_pickup_lowLight,35,,Unknown,,0.702,0.0,111.747
Bend_pickup_lowLight,36,,Unknown,,0.666,0.0,121.9901
Bend_pickup_lowLight,37,,Unknown,,0.616,0.0,112.9911
Bend_pickup_lowLight,38,,Unknown,,0.489,0.0,112.4318
Bend_pickup_lowLight,39,,Standing,,0.452,0.0,123.469
Bend_pickup_lowLight,40,,Standing,,0.593,0.0,156.1208
Bend_pickup_lowLight,41,,Standing,,0.78,0.0,160.2734
Bend_pickup_lowLight,42,,Standing,,0.897,0.0,160.068
Bend_pickup_lowLight,43,,Standing,,0.953,0.0,159.1769
Bend_pickup_lowLight,44,,Standing,,0.973,0.0,156.1551
Bend_pickup_lowLight,45,,Standing,,0.983,0.0,167.3884
Bend_pickup_lowLight,46,,Standing,,0.97,0.0,157.0899
Bend_pickup_lowLight,47,,Standing,,0.932,0.0,179.4223
Bend_pickup_lowLight,48,,Standing,,0.867,0.0,151.1131
Bend_pickup_lowLight,49,,Standing,,0.841,0.0,137.8362
Bend_pickup_lowLight,50,,Standing,,0.817,0.0,152.865
Bend_pickup_lowLight,51,,Standing,,0.784,0.0,125.3439
Bend_pickup_lowLight,52,,Standing,,0.644,0.0,139.3449
Bend_pickup_lowLight,53,,Lying,,0.488,0.0,134.1834
Bend_pickup_lowLight,54,,Lying,,0.726,0.0,136.0142
Bend_pickup_lowLight,55,,Lying,,0.827,0.0,129.6149
Bend_pickup_lowLight,56,,Lying,,0.874,0.0,128.0407
Bend_pickup_lowLight,57,,Lying,,0.89,0.0,124.3653
Bend_pickup_lowLight,58,,Lying,,0.858,0.0,133.1511
Bend_pickup_lowLight,59,,Lying,,0.813,0.0,122.6177
Bend_pickup_lowLight,60,,Lying,,0.795,0.0,115.0768
Bend_pickup_lowLight,61,,Lying,,0.777,0.0,113.4904
Bend_pickup_lowLight,62,,Lying,,0.758,0.0,122.8779
Bend_pickup_lowLight,63,,Lying,,0.726,0.0,116.5661
Bend_pickup_lowLight,64,,Lying,,0.701,0.0,103.439
Bend_pickup_lowLight,65,,Lying,,0.679,0.0,115.2026
Bend_pickup_lowLight,66,,Lying,,0.634,0.0,96.4216
Bend_pickup_lowLight,67,,Lying,,0.545,0.0,104.0952
Bend_pickup_lowLight,68,,Lying,,0.561,0.0,137.7491
Bend_pickup_lowLight,69,,Lying,,0.73,0.0,136.0414
Bend_pickup_lowLight,70,,Lying,,0.712,0.0,114.0122
Bend_pickup_lowLight,71,,Lying,,0.568,0.0,117.2374
Bend_pickup_lowLight,72,,Lying,,0.603,0.0,128.7188
Bend_pickup_lowLight,73,,Lying,,0.748,0.0,116.6395
Bend_pickup_lowLight,74,,Lying,,0.876,0.0,133.9062
Bend_pickup_lowLight,75,,Lying,,0.955,0.0,123.137
Bend_pickup_lowLight,76,,Lying,,0.983,0.0,124.3846
Bend_pickup_lowLight,77,,Lying,,0.992,0.0,136.3936
Bend_pickup_lowLight,78,,Lying,,0.993,0.0,125.8305
Bend_pickup_lowLight,79,,Lying,,0.994,0.0,139.6503
Bend_pickup_lowLight,80,,Lying,,0.996,0.0,156.4449
Bend_pickup_lowLight,81,,Lying,,0.997,0.0,166.2432
Bend_pickup_lowLight,82,,Lying,,0.998,0.0,146.4991
Bend_pickup_lowLight,83,,Lying,,0.998,0.0,146.6217
Bend_pickup_lowLight,84,,Lying,,0.998,0.0,180.0245
Bend_pickup_lowLight,85,,Lying,,0.998,0.0,138.2182
Bend_pickup_lowLight,86,,Lying,,0.998,0.0,134.4472
Bend_pickup_lowLight,87,,Lying,,0.999,0.0,146.5805
Bend_pickup_lowLight,88,,Lying,,0.999,0.0,122.0903
Bend_pickup_lowLight,89,,Lying,,0.999,0.0,123.0334
Bend_pickup_lowLight,90,,Lying,,0.998,0.0,113.1757
Bend_pickup_lowLight,91,,Lying,,0.998,0.0,121.5136
Bend_pickup_lowLight,92,Standing,Lying,False,0.998,0.0,106.5087
Bend_pickup_lowLight,93,Standing,Lying,False,0.998,0.0,106.0775
Bend_pickup_lowLight,94,Standing,Lying,False,0.998,0.0,113.823
Bend_pickup_lowLight,95,Standing,Lying,False,0.998,0.0,133.0514
Bend_pickup_lowLight,96,Standing,Lying,False,0.998,0.0,132.1076
Bend_pickup_lowLight,97,Standing,Lying,False,0.998,0.0,135.3825
Bend_pickup_lowLight,98,Standing,Lying,False,0.998,0.0,142.4454
Bend_pickup_lowLight,99,Standing,Unknown,False,0.445,0.0,126.1364
Bend_pickup_lowLight,100,Standing,Standing,True,0.98,0.0,119.9967
Bend_pickup_lowLight,101,Standing,Standing,True,0.892,0.0,122.0795
Bend_pickup_lowLight,102,Standing,Standing,True,0.988,0.0,128.1972
Bend_pickup_lowLight,103,Standing,Standing,True,0.995,0.0,126.5091
Bend_pickup_lowLight,104,Standing,Standing,True,0.995,0.0,140.81
Bend_pickup_lowLight,105,Standing,Standing,True,0.993,0.0,168.9969
Bend_pickup_lowLight,106,Standing,Standing,True,0.977,0.0,179.6233
Bend_pickup_lowLight,107,Standing,Standing,True,0.959,0.0,150.7631
Bend_pickup_lowLight,108,Standing,Standing,True,0.975,0.0,144.5699
Bend_pickup_lowLight,109,Standing,Standing,True,0.983,0.0,153.468
Bend_pickup_lowLight,110,Standing,Standing,True,0.992,0.0,141.292
Bend_pickup_lowLight,111,Standing,Standing,True,0.995,0.0,134.8921
Bend_pickup_lowLight,112,Standing,Standing,True,0.996,0.0,156.9028
Bend_pickup_lowLight,113,Standing,Standing,True,0.996,0.0,135.9857
Bend_pickup_lowLight,114,Standing,Standing,True,0.996,0.0,143.4677
Bend_pickup_lowLight_leftRight,31,,Standing,,0.951,0.0,158.2081
Bend_pickup_lowLight_leftRight,32,,Standing,,0.948,0.0,160.2618
Bend_pickup_lowLight_leftRight,33,,Standing,,0.939,0.0,178.7414
Bend_pickup_lowLight_leftRight,34,,Standing,,0.932,0.0,153.0468
Bend_pickup_lowLight_leftRight,35,,Standing,,0.925,0.0,155.7651
Bend_pickup_lowLight_leftRight,36,,Standing,,0.917,0.0,145.0445
Bend_pickup_lowLight_leftRight,37,,Standing,,0.898,0.0,146.2279
Bend_pickup_lowLight_leftRight,38,,Standing,,0.851,0.0,181.1066
Bend_pickup_lowLight_leftRight,39,,Standing,,0.77,0.0,151.7303
Bend_pickup_lowLight_leftRight,40,,Standing,,0.624,0.0,150.3222
Bend_pickup_lowLight_leftRight,41,,Standing,,0.404,0.0,184.0025
Bend_pickup_lowLight_leftRight,42,,Lying,,0.38,0.0,171.5483
Bend_pickup_lowLight_leftRight,43,,Lying,,0.591,0.0,147.3166
Bend_pickup_lowLight_leftRight,44,,Lying,,0.753,0.0,143.5368
Bend_pickup_lowLight_leftRight,45,,Lying,,0.857,0.0,123.917
Bend_pickup_lowLight_leftRight,46,,Lying,,0.917,0.0,145.2356
Bend_pickup_lowLight_leftRight,47,,Lying,,0.947,0.0,138.4552
Bend_pickup_lowLight_leftRight,48,,Lying,,0.961,0.0,142.5091
Bend_pickup_lowLight_leftRight,49,,Lying,,0.967,0.0,133.5338
Bend_pickup_lowLight_leftRight,50,,Lying,,0.972,0.0,154.7658
Bend_pickup_lowLight_leftRight,51,,Lying,,0.973,0.0,136.7711
Bend_pickup_lowLight_leftRight,52,,Lying,,0.972,0.0,151.4076
Bend_pickup_lowLight_leftRight,53,,Lying,,0.964,0.0,152.0146
Bend_pickup_lowLight_leftRight,54,,Lying,,0.95,0.0,178.2282
Bend_pickup_lowLight_leftRight,55,,Lying,,0.93,0.0,192.1067
Bend_pickup_lowLight_leftRight,56,,Lying,,0.914,0.0,211.174
Bend_pickup_lowLight_leftRight,57,,Lying,,0.896,0.0,129.881
Bend_pickup_lowLight_leftRight,58,,Lying,,0.876,0.0,141.2961
Bend_pickup_lowLight_leftRight,59,,Lying,,0.848,0.0,177.551
Bend_pickup_lowLight_leftRight,60,,Lying,,0.827,0.0,137.9912
Bend_pickup_lowLight_leftRight,61,,Lying,,0.812,0.0,129.3834
Bend_pickup_lowLight_leftRight,62,,Lying,,0.778,0.0,174.3765
Bend_pickup_lowLight_leftRight,63,,Lying,,0.746,0.0,153.534
Bend_pickup_lowLight_leftRight,64,,Lying,,0.727,0.0,135.242
Bend_pickup_lowLight_leftRight,65,,Lying,,0.7,0.0,146.1642
Bend_pickup_lowLight_leftRight,66,,Lying,,0.686,0.0,139.8256
Bend_pickup_lowLight_leftRight,67,,Lying,,0.66,0.0,138.6527
Bend_pickup_lowLight_leftRight,68,,Lying,,0.644,0.0,129.5226
Bend_pickup_lowLight_leftRight,69,,Lying,,0.649,0.0,116.6727
Bend_pickup_lowLight_leftRight,70,,Lying,,0.641,0.0,130.408
Bend_pickup_lowLight_leftRight,71,,Lying,,0.62,0.0,138.6915
Bend_pickup_lowLight_leftRight,72,,Lying,,0.593,0.0,130.976
Bend_pickup_lowLight_leftRight,73,,Lying,,0.553,0.0,117.4736
Bend_pickup_lowLight_leftRight,74,,Lying,,0.568,0.0,108.4376
Bend_pickup_lowLight_leftRight,75,,Lying,,0.543,0.0,93.5622
Bend_pickup_lowLight_leftRight,76,,Lying,,0.525,0.0,99.9905
Bend_pickup_lowLight_leftRight,77,,Lying,,0.567,0.0,96.6276
Bend_pickup_lowLight_leftRight,78,,Lying,,0.635,0.0,94.1166
Bend_pickup_lowLight_leftRight,79,,Lying,,0.626,0.0,87.4231
Bend_pickup_lowLight_leftRight,80,,Lying,,0.642,0.0,92.7742
Bend_pickup_lowLight_leftRight,81,,Lying,,0.675,0.0,73.1793
Bend_pickup_lowLight_leftRight,82,,Lying,,0.667,0.0,83.1211
Bend_pickup_lowLight_leftRight,83,,Lying,,0.67,0.0,106.7679
Bend_pickup_lowLight_leftRight,84,,Lying,,0.697,0.0,108.1447
Bend_pickup_lowLight_leftRight,85,,Lying,,0.754,0.0,107.4944
Bend_pickup_lowLight_leftRight,86,,Lying,,0.824,0.0,107.8757
Bend_pickup_lowLight_leftRight,87,,Lying,,0.878,0.0,110.241
Bend_pickup_lowLight_leftRight,88,,Lying,,0.925,0.0,111.2337
Bend_pickup_lowLight_leftRight,89,,Lying,,0.955,0.0,120.1828
Bend_pickup_lowLight_leftRight,90,Standing,Lying,False,0.97,0.0,124.5825
Bend_pickup_lowLight_leftRight,91,Standing,Lying,False,0.983,0.0,112.5935
Bend_pickup_lowLight_leftRight,92,Standing,Lying,False,0.989,0.0,114.042
Bend_pickup_lowLight_leftRight,93,Standing,Lying,False,0.992,0.0,116.65
Bend_pickup_lowLight_leftRight,94,Standing,Lying,False,0.994,0.0,118.5699
Bend_pickup_lowLight_leftRight,95,Standing,Lying,False,0.994,0.0,130.1718
Bend_pickup_lowLight_leftRight,96,Standing,Lying,False,0.993,0.0,147.7465
Bend_pickup_lowLight_leftRight,97,Standing,Lying,False,0.992,0.0,116.7082
Bend_pickup_lowLight_leftRight,98,Standing,Lying,False,0.989,0.0,126.3964
Bend_pickup_lowLight_leftRight,99,Standing,Lying,False,0.985,0.0,121.8979
