clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Bend_pickup_lowLight,31,,Standing,,0.936,0.0,37.3784
Bend_pickup_lowLight,32,,Standing,,0.922,0.0,26.1814
Bend_pickup_lowLight,33,,Standing,,0.928,0.0,37.6342
Bend_pickup_lowLight,34,,Standing,,0.941,0.0,31.9459
Bend_pickup_lowLight,35,,Standing,,0.934,0.0,34.552
Bend_pickup_lowLight,36,,Standing,,0.954,0.0,36.2483
Bend_pickup_lowLight,37,,Standing,,0.959,0.0,31.5577
Bend_pickup_lowLight,38,,Standing,,0.965,0.0,32.4436
Bend_pickup_lowLight,39,,Standing,,0.956,0.0,27.1281
Bend_pickup_lowLight,40,,Standing,,0.962,0.0,33.6801
Bend_pickup_lowLight,41,,Standing,,0.957,0.0,40.0942
Bend_pickup_lowLight,42,,Standing,,0.941,0.0,40.4945
Bend_pickup_lowLight,43,,Standing,,0.878,0.0,41.4177
Bend_pickup_lowLight,44,,Standing,,0.842,0.0,44.0888
Bend_pickup_lowLight,45,,Standing,,0.795,0.0,40.1868
Bend_pickup_lowLight,46,,Standing,,0.689,0.0,34.946
Bend_pickup_lowLight,47,,Standing,,0.689,0.0,38.0394
Bend_pickup_lowLight,48,,Standing,,0.675,0.0,39.7833
Bend_pickup_lowLight,49,,Standing,,0.619,0.0,39.0852
Bend_pickup_lowLight,50,,Standing,,0.521,0.0,39.9944
Bend_pickup_lowLight,51,,Standing,,0.43,0.0,40.0381
Bend_pickup_lowLight,52,,Standing,,0.376,0.0,41.4411
Bend_pickup_lowLight,53,,Standing,,0.316,0.0,43.009
Bend_pickup_lowLight,54,,Lying,,0.358,0.0,41.7737
Bend_pickup_lowLight,55,,Lying,,0.418,0.0,41.5728
Bend_pickup_lowLight,56,,Lying,,0.453,0.0,41.7529
Bend_pickup_lowLight,57,,Lying,,0.474,0.0,41.6501
Bend_pickup_lowLight,58,,Lying,,0.504,0.0,31.353
Bend_pickup_lowLight,59,,Lying,,0.552,0.0,33.1385
Bend_pickup_lowLight,60,,Lying,,0.56,0.0,30.1204
Bend_pickup_lowLight,61,,Lying,,0.578,0.0,34.565
Bend_pickup_lowLight,62,,Lying,,0.562,0.0,34.0896
Bend_pickup_lowLight,63,,Lying,,0.565,0.0,38.8017
Bend_pickup_lowLight,64,,Lying,,0.579,0.0,39.4784
Bend_pickup_lowLight,65,,Lying,,0.579,0.0,40.6382
Bend_pickup_lowLight,66,,Lying,,0.574,0.0,42.204
Bend_pickup_lowLight,67,,Lying,,0.574,0.0,39.9732
Bend_pickup_lowLight,68,,Lying,,0.577,0.0,40.4382
Bend_pickup_lowLight,69,,Lying,,0.536,0.0,42.5296
Bend_pickup_lowLight,70,,Lying,,0.52,0.0,37.5599
Bend_pickup_lowLight,71,,Lying,,0.481,0.0,45.4516
Bend_pickup_lowLight,72,,Lying,,0.47,0.0,40.4521
Bend_pickup_lowLight,73,,Lying,,0.444,0.0,42.4378
Bend_pickup_lowLight,74,,Lying,,0.445,0.0,48.4062
Bend_pickup_lowLight,75,,Lying,,0.472,0.0,49.3968
Bend_pickup_lowLight,76,,Lying,,0.468,0.0,48.6935
Bend_pickup_lowLight,77,,Lying,,0.432,0.0,49.1531
Bend_pickup_lowLight,78,,Lying,,0.443,0.0,46.5835
Bend_pickup_lowLight,79,,Lying,,0.407,0.0,49.6985
Bend_pickup_lowLight,80,,Standing,,0.41,0.0,46.4696
Bend_pickup_lowLight,81,,Standing,,0.423,0.0,48.3863
Bend_pickup_lowLight,82,,Standing,,0.467,0.0,47.4147
