clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Backward_fall,31,Standing,Unknown,False,0.836,0.0,1192.0294
Backward_fall,32,Standing,Unknown,False,0.84,0.0,217.5946
Backward_fall,33,Standing,Unknown,False,0.84,0.0,221.5011
Backward_fall,34,Standing,Unknown,False,0.839,0.0,235.8962
Backward_fall,35,Standing,Unknown,False,0.835,0.0,207.1086
Backward_fall,36,,Unknown,,0.836,0.0,202.2218
Backward_fall,37,,Unknown,,0.837,0.0,204.7223
Backward_fall,38,,Unknown,,0.839,0.0,207.4352
Backward_fall,39,,Unknown,,0.835,0.0,261.6534
Backward_fall,40,,Unknown,,0.83,0.0,208.3505
Backward_fall,41,,Unknown,,0.82,0.0,184.02
Backward_fall,42,,Unknown,,0.814,0.0,182.1073
Backward_fall,43,,Unknown,,0.802,0.0,185.8868
Backward_fall,44,,Unknown,,0.789,0.0,168.6943
Backward_fall,45,,Unknown,,0.759,0.0,164.7994
Backward_fall,46,,Unknown,,0.747,0.0,195.5709
Backward_fall,47,,Unknown,,0.709,0.0,218.2728
Backward_fall,48,,Unknown,,0.683,0.0,208.5846
Backward_fall,49,,Unknown,,0.653,0.0,217.3047
Backward_fall,50,,Unknown,,0.636,0.0,174.0615
Backward_fall,51,,Unknown,,0.618,0.0,176.4119
Backward_fall,52,,Unknown,,0.569,0.0,193.6853
Backward_fall,53,,Sitting,,0.48,0.0,173.716
Backward_fall,54,,Sitting,,0.646,0.0,185.1376
Backward_fall,55,,Sitting,,0.743,0.0,183.1751
Backward_fall,56,,Sitting,,0.781,0.0,174.4157
Backward_fall,57,,Sitting,,0.802,0.0,153.9044
Backward_fall,58,,Sitting,,0.809,0.0,182.3445
Backward_fall,59,,Sitting,,0.823,0.0,165.8759
Backward_fall,60,,Sitting,,0.826,0.0,165.1029
Backward_fall,61,,Sitting,,0.832,0.0,183.7279
Backward_fall,62,,Sitting,,0.832,0.0,147.5579
Backward_fall,63,,Sitting,,0.848,0.0,153.1953
Backward_fall,64,,Sitting,,0.856,0.0,196.6829
Backward_fall,65,,Sitting,,0.877,0.0,181.8938
Backward_fall,66,,Sitting,,0.893,0.0,171.6199
Backward_fall,67,,Sitting,,0.913,0.0,193.6372
Backward_fall,68,,Sitting,,0.93,0.0,196.6185
Backward_fall,69,Lying,Sitting,False,0.945,0.0,168.6127
Backward_fall,70,Lying,Sitting,False,0.955,0.0,169.597
Backward_fall,71,Lying,Sitting,False,0.962,0.0,170.3186
Backward_fall,72,Lying,Sitting,False,0.963,0.0,164.4863
Backward_fall,73,Lying,Sitting,False,0.961,0.0,160.9224
Backward_fall,74,Lying,Sitting,False,0.958,0.0,201.5041
Backward_fall,75,Lying,Sitting,False,0.953,0.0,183.4684
Backward_fall,76,Lying,Sitting,False,0.947,0.0,162.8943
Backward_fall,77,Lying,Sitting,False,0.942,0.0,164.2484
Backward_fall,78,Lying,Sitting,False,0.937,0.0,160.509
Backward_fall,79,Lying,Sitting,False,0.941,0.0,160.1269
Backward_fall,80,Lying,Sitting,False,0.942,0.0,172.4484
Backward_fall,81,Lying,Sitting,False,0.942,0.0,158.9797
Backward_fall,82,Lying,Sitting,False,0.942,0.0,182.5544
Backward_fall,83,Lying,Sitting,False,0.936,0.0,163.2002
Backward_fall,84,Lying,Sitting,False,0.932,0.0,160.9097
Backward_fall,85,Lying,Sitting,False,0.927,0.0,170.5828
Backward_fall,86,Lying,Sitting,False,0.927,0.0,167.4464
Backward_fall,87,Lying,Sitting,False,0.928,0.0,156.9213
Backward_fall,88,Lying,Sitting,False,0.931,0.0,164.6417
Backward_fall,89,Lying,Sitting,False,0.932,0.0,183.0158
Backward_fall,90,Lying,Sitting,False,0.943,0.0,162.9741
Backward_fall,91,Lying,Sitting,False,0.939,0.0,168.6107
Backward_fall,92,Lying,Sitting,False,0.921,0.0,158.4684
Backward_fall,93,Lying,Sitting,False,0.922,0.0,167.3063
Backward_fall,94,Lying,Sitting,False,0.891,0.0,173.8957
