clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Backward_fall,31,Standing,Standing,True,0.79,0.0,55.0924
Backward_fall,32,Standing,Standing,True,0.813,0.0,54.1095
Backward_fall,33,Standing,Standing,True,0.82,0.0,56.9808
Backward_fall,34,Standing,Standing,True,0.821,0.0,53.0042
Backward_fall,35,Standing,Standing,True,0.819,0.0,47.9348
Backward_fall,36,,Standing,,0.804,0.0,52.1706
Backward_fall,37,,Standing,,0.774,0.0,46.1188
Backward_fall,38,,Standing,,0.767,0.0,53.3406
Backward_fall,39,,Standing,,0.762,0.0,39.517
Backward_fall,40,,Standing,,0.746,0.0,48.9382
Backward_fall,41,,Standing,,0.735,0.0,40.8666
Backward_fall,42,,Standing,,0.728,0.0,48.2571
Backward_fall,43,,Standing,,0.712,0.0,54.1675
Backward_fall,44,,Standing,,0.704,0.0,48.5027
Backward_fall,45,,Standing,,0.698,0.0,62.9816
Backward_fall,46,,Standing,,0.663,0.0,52.3001
Backward_fall,47,,Standing,,0.646,0.0,51.0911
Backward_fall,48,,Standing,,0.617,0.0,53.1531
Backward_fall,49,,Standing,,0.593,0.0,48.936
Backward_fall,50,,Standing,,0.555,0.0,49.6735
Backward_fall,51,,Standing,,0.51,0.0,60.5215
Backward_fall,52,,Standing,,0.473,0.0,49.9602
Backward_fall,53,,Standing,,0.463,0.0,58.5749
Backward_fall,54,,Standing,,0.444,0.0,50.6518
Backward_fall,55,,Standing,,0.477,0.0,60.9908
Backward_fall,56,,Standing,,0.488,0.0,43.6436
Backward_fall,57,,Standing,,0.514,0.0,40.075
Backward_fall,58,,Standing,,0.555,0.0,39.0512
Backward_fall,59,,Standing,,0.572,0.0,32.2111
Backward_fall,60,,Standing,,0.623,0.0,37.8636
Backward_fall,61,,Standing,,0.637,0.0,39.6724
Backward_fall,62,,Standing,,0.676,0.0,37.0412
Backward_fall,63,,Standing,,0.673,0.0,40.6281
Backward_fall,64,,Standing,,0.667,0.0,42.2948
Backward_fall,65,,Standing,,0.671,0.0,36.4187
Backward_fall,66,,Standing,,0.698,0.0,47.4512
Backward_fall,67,,Standing,,0.699,0.0,55.8844
Backward_fall,68,,Standing,,0.694,0.0,44.2105
Backward_fall,69,Lying,Standing,False,0.667,0.0,49.0408
Backward_fall,70,Lying,Standing,False,0.637,0.0,51.1937
Backward_fall,71,Lying,Standing,False,0.623,0.0,48.5019
Backward_fall,72,Lying,Standing,False,0.598,0.0,49.3277
Backward_fall,73,Lying,Standing,False,0.574,0.0,48.9062
Backward_fall,74,Lying,Standing,False,0.527,0.0,50.4779
Backward_fall,75,Lying,Standing,False,0.505,0.0,63.1329
Backward_fall,76,Lying,Standing,False,0.485,0.0,57.1299
Backward_fall,77,Lying,Standing,False,0.481,0.0,38.1572
Backward_fall,78,Lying,Standing,False,0.503,0.0,52.9889
Backward_fall,79,Lying,Standing,False,0.501,0.0,46.2599
Backward_fall,80,Lying,Standing,False,0.529,0.0,49.0324
Backward_fall,81,Lying,Standing,False,0.531,0.0,41.5045
Backward_fall,82,Lying,Standing,False,0.553,0.0,47.7312
Backward_fall,83,Lying,Standing,False,0.568,0.0,45.5311
Backward_fall,84,Lying,Standing,False,0.599,0.0,49.7232
Backward_fall,85,Lying,Standing,False,0.619,0.0,45.0459
Backward_fall,86,Lying,Standing,False,0.627,0.0,49.225
Backward_fall,87,Lying,Standing,False,0.637,0.0,48.5101
Backward_fall,88,Lying,Standing,False,0.648,0.0,43.3861
Backward_fall,89,Lying,Standing,False,0.647,0.0,48.2724
Backward_fall,90,Lying,Standing,False,0.639,0.0,43.1352
Backward_fall,91,Lying,Standing,False,0.621,0.0,47.8946
Backward_fall,92,Lying,Standing,False,0.621,0.0,44.4097
Backward_fall,93,Lying,Standing,False,0.574,0.0,50.957
Backward_fall,94,Lying,Standing,False,0.574,0.0,51.6062
Backward_fall,95,Lying,Standing,False,0.541,0.0,50.2949
Backward_fall,96,Lying,Standing,False,0.501,0.0,49.6049
Backward_fall,97,Lying,Standing,False,0.461,0.0,44.0379
Backward_fall,98,Lying,Standing,False,0.439,0.0,52.3568
Backward_fall,99,Lying,Standing,False,0.448,0.0,47.7799
Backward_fall,100,Lying,Standing,False,0.433,1.0,73.3697
Backward_fall,101,Lying,Standing,False,0.398,0.0,59.6162
Backward_fall,102,Lying,Standing,False,0.44,0.0,60.3935
Backward_fall,103,Lying,Standing,False,0.463,0.0,77.4076
Backward_fall,104,Lying,Standing,False,0.454,0.0,66.4572
Backward_fall,105,Lying,Standing,False,0.495,1.0,53.1982
Backward_fall,106,Lying,Standing,False,0.471,1.0,53.2034
Backward_fall,107,Lying,Standing,False,0.442,0.0,54.8356
Backward_fall,108,Lying,Standing,False,0.477,0.0,52.4586
Backward_fall,109,Lying,Standing,False,0.482,0.0,60.0597
Backward_fall,110,Lying,Standing,False,0.508,0.0,54.3463
Backward_fall,111,Lying,Standing,False,0.567,0.0,48.7919
Chair_fall,31,Sitting,Lying,False,0.495,1.0,52.4283
Chair_fall,32,Sitting,Lying,False,0.495,1.0,55.9384
Chair_fall,33,Sitting,Lying,False,0.495,1.0,48.8016
Chair_fall,34,Sitting,Lying,False,0.495,1.0,37.6024
Chair_fall,35,Sitting,Lying,False,0.495,1.0,52.2277
Chair_fall,36,Sitting,Lying,False,0.495,1.0,46.3807
Chair_fall,37,Sitting,Lying,False,0.495,1.0,52.2189
Chair_fall,38,Sitting,Lying,False,0.495,1.0,41.711
Chair_fall,39,Sitting,Lying,False,0.495,1.0,50.2171
Chair_fall,40,Sitting,Unknown,False,0.593,0.0,41.1892
Chair_fall,41,Sitting,Unknown,False,0.533,1.0,36.8005
Chair_fall,42,,Unknown,,0.502,1.0,57.1334
Chair_fall,43,,Unknown,,0.476,1.0,47.1357
Chair_fall,44,,Unknown,,0.538,0.0,46.9483
Chair_fall,45,,Unknown,,0.58,0.0,51.3149
Chair_fall,46,,Unknown,,0.553,0.0,46.9057
Chair_fall,47,,Unknown,,0.461,0.0,37.519
Chair_fall,48,,Unknown,,0.31,0.0,47.408
Chair_fall,49,,Standing,,0.271,0.0,55.8974
Chair_fall,50,,Standing,,0.249,0.0,54.026
Chair_fall,51,,Standing,,0.261,0.0,52.9199
Chair_fall,52,,Sitting,,0.292,0.0,54.2162
Chair_fall,53,,Sitting,,0.317,0.0,48.3342
Chair_fall,54,,Standing,,0.313,0.0,54.0116
Chair_fall,55,,Standing,,0.305,0.0,47.1735
Chair_fall,56,,Standing,,0.322,0.0,52.0119
Chair_fall,57,,Standing,,0.298,0.0,45.3555
Chair_fall,58,,Standing,,0.313,0.0,48.842
Chair_fall,59,,Standing,,0.348,0.0,43.6342
Chair_fall,60,,Standing,,0.292,0.0,48.0546
Chair_fall,61,,Standing,,0.321,0.0,46.9759
Chair_fall,62,,Standing,,0.344,0.0,46.4462
Chair_fall,63,,Standing,,0.369,0.0,62.8185
Chair_fall,64,,Standing,,0.406,0.0,37.5204
Chair_fall,65,,Standing,,0.372,0.0,48.3121
Chair_fall,66,,Standing,,0.411,0.0,44.6373
Chair_fall,67,,Standing,,0.408,0.0,47.6698
Chair_fall,68,,Standing,,0.471,0.0,49.7478
Chair_fall,69,,Standing,,0.485,0.0,46.4306
Chair_fall,70,,Standing,,0.462,0.0,35.6573
Chair_fall,71,,Standing,,0.506,0.0,38.0029
Chair_fall,72,,Standing,,0.622,0.0,38.0902
Chair_fall,73,,Standing,,0.667,0.0,39.7965
Chair_fall,74,,Standing,,0.671,0.0,43.4407
Chair_fall,75,,Standing,,0.696,0.0,40.8297
Chair_fall,76,,Standing,,0.674,0.0,41.197
Chair_fall,77,,Standing,,0.671,0.0,48.8904
Chair_fall,78,Lying,Standing,False,0.712,0.0,48.6995
Chair_fall,79,Lying,Standing,False,0.698,0.0,46.9104
Chair_fall,80,Lying,Standing,False,0.736,0.0,39.9025
Chair_fall,81,Lying,Standing,False,0.739,0.0,50.8381
Chair_fall,82,Lying,Standing,False,0.738,0.0,50.8681
Chair_fall,83,Lying,Standing,False,0.722,0.0,48.8826
Chair_fall,84,Lying,Standing,False,0.722,0.0,48.7793
Chair_fall,85,Lying,Standing,False,0.711,0.0,46.9934
Chair_fall,86,Lying,Standing,False,0.667,0.0,48.7129
Chair_fall,87,Lying,Standing,False,0.699,0.0,48.4422
Chair_fall,88,Lying,Standing,False,0.708,0.0,47.4651
Chair_fall,89,Lying,Standing,False,0.679,0.0,52.8174
Chair_fall,90,Lying,Standing,False,0.66,0.0,42.4756
Chair_fall,91,Lying,Standing,False,0.592,0.0,49.7346
Chair_fall,92,Lying,Standing,False,0.606,0.0,46.3841
Chair_fall,93,Lying,Standing,False,0.633,0.0,53.1821
Chair_fall,94,Lying,Standing,False,0.641,0.0,41.5553
Chair_fall,95,Lying,Standing,False,0.645,0.0,54.5211
Chair_fall,96,Lying,Standing,False,0.666,0.0,44.0676
Chair_fall,97,Lying,Standing,False,0.694,0.0,51.9633
Chair_fall,98,Lying,Standing,False,0.716,0.0,39.1336
Chair_fall,99,Lying,Standing,False,0.739,0.0,44.0728
Chair_fall,100,Lying,Standing,False,0.749,0.0,38.8267
Chair_fall,101,Lying,Standing,False,0.754,0.0,50.0111
Chair_fall,102,Lying,Standing,False,0.768,0.0,50.8411
Chair_fall,103,Lying,Standing,False,0.776,0.0,47.8629
Chair_fall,104,Lying,Standing,False,0.77,0.0,52.3454
Chair_fall,105,Lying,Standing,False,0.781,0.0,53.2701
Chair_fall,106,Lying,Standing,False,0.763,0.0,43.9895
Chair_fall,107,Lying,Standing,False,0.736,0.0,43.8025
Chair_fall,108,Lying,Standing,False,0.725,0.0,91.8796
Chair_fall,109,Lying,Standing,False,0.713,0.0,54.4967
Chair_fall,110,Lying,Standing,False,0.696,0.0,54.3915
Chair_fall,111,Lying,Standing,False,0.654,0.0,49.4939
Chair_fall,112,Lying,Standing,False,0.657,0.0,54.2855
Chair_fall,113,Lying,Standing,False,0.639,0.0,37.9339
Chair_fall,114,Lying,Standing,False,0.622,0.0,41.2983
Chair_fall,115,Lying,Standing,False,0.578,0.0,43.7644
Chair_fall,116,Lying,Standing,False,0.529,0.0,46.2511
Chair_fall,117,Lying,Standing,False,0.502,0.0,43.749
Chair_fall,118,Lying,Standing,False,0.474,0.0,48.2441
Chair_fall,119,Lying,Standing,False,0.478,0.0,40.141
Chair_fall,120,Lying,Standing,False,0.479,0.0,47.2719
Chair_fall,121,Lying,Standing,False,0.481,0.0,41.2505
Chair_fall,122,Lying,Standing,False,0.514,0.0,46.8233
Chair_fall,123,Lying,Standing,False,0.502,0.0,34.7547
Chair_fall,124,Lying,Standing,False,0.52,0.0,40.4455
Chair_fall,125,Lying,Standing,False,0.499,0.0,31.2751
Chair_fall,126,Lying,Standing,False,0.523,0.0,36.5066
Chair_fall,127,Lying,Standing,False,0.514,0.0,47.3495
Chair_fall,128,Lying,Standing,False,0.504,0.0,42.2412
Chair_fall,129,Lying,Standing,False,0.499,0.0,43.95
Chair_fall,130,Lying,Standing,False,0.518,0.0,43.8255
Chair_fall,131,Lying,Standing,False,0.507,0.0,41.439
Chair_fall,132,Lying,Standing,False,0.499,0.0,45.1894
Chair_fall,133,Lying,Standing,False,0.495,0.0,41.3175
Chair_fall,134,Lying,Standing,False,0.479,0.0,38.6669
Chair_fall,135,Lying,Standing,False,0.474,0.0,46.6892
Chair_fall,136,Lying,Standing,False,0.466,0.0,48.5611
Chair_fall,137,Lying,Standing,False,0.453,0.0,48.4104
Chair_fall,138,Lying,Standing,False,0.442,0.0,41.8168
Chair_fall,139,Lying,Standing,False,0.432,0.0,45.3917
Chair_fall,140,Lying,Standing,False,0.42,0.0,43.6943
Chair_fall,141,Lying,Standing,False,0.414,0.0,38.0006
Chair_fall,142,Lying,Standing,False,0.431,0.0,40.6695
Chair_fall,143,Lying,Standing,False,0.432,0.0,49.4114
Chair_fall,144,Lying,Standing,False,0.442,0.0,46.5376
Chair_fall,145,Lying,Standing,False,0.468,0.0,37.9082
Chair_fall,146,Lying,Standing,False,0.499,0.0,45.7414
Chair_fall,147,Lying,Standing,False,0.541,0.0,35.2952
Chair_fall,148,Lying,Standing,False,0.566,0.0,35.2751
Chair_fall,149,Lying,Standing,False,0.567,0.0,32.0305
Chair_fall,150,Lying,Standing,False,0.596,0.0,37.3822
Chair_fall,151,Lying,Standing,False,0.558,0.0,35.2574
Chair_fall,152,Lying,Standing,False,0.552,0.0,44.6606
Chair_fall,153,Lying,Standing,False,0.514,0.0,42.3496
Chair_fall,154,Lying,Standing,False,0.479,0.0,36.2276
Chair_fall,155,Lying,Standing,False,0.445,0.0,39.2484
Chair_fall,156,Lying,Standing,False,0.428,0.0,40.1131
Chair_fall,157,Lying,Standing,False,0.391,0.0,40.6963
Chair_fall,158,Lying,Standing,False,0.366,0.0,41.7356
Chair_fall,159,Lying,Lying,True,0.301,0.0,47.8348
Chair_fall,160,Lying,Lying,True,0.347,0.0,46.9032
Chair_fall,161,Lying,Lying,True,0.387,0.0,48.3399
Chair_fall,162,Lying,Lying,True,0.398,0.0,67.4279
Chair_fall,163,Lying,Lying,True,0.435,0.0,83.9518
Chair_fall,164,Lying,Lying,True,0.442,0.0,52.7556
Chair_fall,165,Lying,Lying,True,0.46,0.0,62.0925
Chair_fall,166,Lying,Lying,True,0.472,0.0,64.7333
Chair_fall,167,Lying,Lying,True,0.489,0.0,61.6026
Chair_fall,168,Lying,Lying,True,0.518,0.0,64.4706
Chair_fall,169,Lying,Lying,True,0.541,0.0,58.5175
