clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Backward_fall,31,Standing,Unknown,False,0.773,0.0,634.5665
Backward_fall,32,Standing,Unknown,False,0.765,0.0,97.9457
Backward_fall,33,Standing,Unknown,False,0.757,0.0,110.6661
Backward_fall,34,Standing,Unknown,False,0.746,0.0,110.9734
Backward_fall,35,Standing,Unknown,False,0.733,0.0,107.9533
Backward_fall,36,,Unknown,,0.715,0.0,137.7723
Backward_fall,37,,Unknown,,0.7,0.0,126.8403
Backward_fall,38,,Unknown,,0.682,0.0,107.6494
Backward_fall,39,,Unknown,,0.666,0.0,121.4861
Backward_fall,40,,Unknown,,0.653,0.0,114.8785
Backward_fall,41,,Unknown,,0.645,0.0,115.2885
Backward_fall,42,,Unknown,,0.64,0.0,121.6706
Backward_fall,43,,Unknown,,0.635,0.0,132.6087
Backward_fall,44,,Unknown,,0.632,0.0,126.3797
Backward_fall,45,,Unknown,,0.629,0.0,144.9928
Backward_fall,46,,Unknown,,0.626,0.0,131.1123
Backward_fall,47,,Unknown,,0.62,0.0,115.9779
Backward_fall,48,,Unknown,,0.611,0.0,120.2585
Backward_fall,49,,Unknown,,0.593,0.0,112.6957
Backward_fall,50,,Unknown,,0.568,0.0,133.4768
Backward_fall,51,,Unknown,,0.537,0.0,148.4477
Backward_fall,52,,Unknown,,0.501,0.0,135.1481
Backward_fall,53,,Unknown,,0.455,0.0,150.3536
Backward_fall,54,,Unknown,,0.401,0.0,133.8099
Backward_fall,55,,Sitting,,0.36,0.0,135.0585
Backward_fall,56,,Sitting,,0.448,0.0,123.9855
Backward_fall,57,,Sitting,,0.535,0.0,117.8937
Backward_fall,58,,Sitting,,0.611,0.0,115.3251
Backward_fall,59,,Sitting,,0.675,0.0,111.672
Backward_fall,60,,Sitting,,0.725,0.0,114.4414
Backward_fall,61,,Sitting,,0.765,0.0,177.1322
Backward_fall,62,,Sitting,,0.8,0.0,117.6439
Backward_fall,63,,Sitting,,0.83,0.0,110.2656
Backward_fall,64,,Sitting,,0.845,0.0,122.3604
Backward_fall,65,,Sitting,,0.866,0.0,124.4761
Backward_fall,66,,Sitting,,0.885,0.0,138.8652
Backward_fall,67,,Sitting,,0.896,0.0,185.0835
Backward_fall,68,,Sitting,,0.906,0.0,211.7156
Backward_fall,69,Lying,Sitting,False,0.912,0.0,256.7487
Backward_fall,70,Lying,Sitting,False,0.914,0.0,240.4555
Backward_fall,71,Lying,Sitting,False,0.919,0.0,214.2299
Backward_fall,72,Lying,Sitting,False,0.919,0.0,184.8993
Backward_fall,73,Lying,Sitting,False,0.92,0.0,192.2696
Backward_fall,74,Lying,Sitting,False,0.921,0.0,185.2524
Backward_fall,75,Lying,Sitting,False,0.919,0.0,206.7844
Backward_fall,76,Lying,Sitting,False,0.912,0.0,183.9595
Backward_fall,77,Lying,Sitting,False,0.909,0.0,167.7053
Backward_fall,78,Lying,Sitting,False,0.903,0.0,177.6521
Backward_fall,79,Lying,Sitting,False,0.889,0.0,195.7393
Backward_fall,80,Lying,Sitting,False,0.873,0.0,171.6679
Backward_fall,81,Lying,Sitting,False,0.851,0.0,200.5214
Backward_fall,82,Lying,Sitting,False,0.835,0.0,199.0657
Backward_fall,83,Lying,Sitting,False,0.809,0.0,182.606
Backward_fall,84,Lying,Sitting,False,0.771,0.0,190.6378
Backward_fall,85,Lying,Sitting,False,0.76,0.0,178.5333
Backward_fall,86,Lying,Sitting,False,0.739,0.0,153.281
Backward_fall,87,Lying,Sitting,False,0.722,0.0,139.9508
Backward_fall,88,Lying,Sitting,False,0.719,0.0,141.3034
Backward_fall,89,Lying,Sitting,False,0.712,0.0,147.2957
Backward_fall,90,Lying,Sitting,False,0.708,0.0,163.5573
Backward_fall,91,Lying,Sitting,False,0.7,0.0,189.4977
Backward_fall,92,Lying,Sitting,False,0.684,0.0,162.0424
Backward_fall,93,Lying,Sitting,False,0.686,0.0,188.695
Backward_fall,94,Lying,Sitting,False,0.698,0.0,146.8223
Backward_fall,95,Lying,Sitting,False,0.698,0.0,152.6202
Backward_fall,96,Lying,Sitting,False,0.679,0.0,199.5438
Backward_fall,97,Lying,Sitting,False,0.655,0.0,160.6115
Backward_fall,98,Lying,Sitting,False,0.632,0.0,166.7402
