round,clip,is_fall,explicit_fall_gt,any_alarm,alarm_frames,total_frames
Hussain_7-30,Bend_pickup_lowLight,False,False,False,0,114
Hussain_7-30,Bend_pickup_normalLight_back,False,False,False,0,429
Hussain_7-30,Bend_pickup_normalLight_leftRight,False,False,False,0,333
Hussain_7-30,Bend_pickup_normalLight,False,False,True,3,140
Hussain_7-30,Bend_pickup_squat_lowLight,False,False,False,0,174
Hussain_7-30,Bend_pickup_squat_normalLight,False,False,False,0,160
Hussain_7-30,Kneeling,False,False,False,0,190
Hussain_7-30,LyingdownSlowly,False,False,True,165,381
Hussain_7-30,Moving_in_out_frame,False,False,False,0,210
Hussain_7-30,Moving_in_out_frame_withFall,True,False,False,0,217
Hussain_7-30,Sit_Stand_AnklesInvisible,False,False,False,0,208
Hussain_7-30,SitFast_GetupFast,False,False,False,0,174
Hussain_7-30,SitFloor_lowKeypoints_crossedLegs,False,False,False,0,315
Hussain_7-30,SitFloor_lowKeypoints,False,False,False,0,306
Hussain_7-30,Sitting_HalfLandmarks,False,False,False,0,224
Hussain_7-30,Sitting_Lying_FewLandmarks_back,False,False,False,0,489
Hussain_7-30,Sitting_Lying_FewLandmarks,False,False,False,0,401
Hussain_8-2,Fall_backward_2,True,False,True,154,243
Hussain_8-2,Fall_backward_3,True,False,True,164,283
Hussain_8-2,Fall_backward_4,True,False,True,216,304
Hussain_8-2,Fall_forward_2,True,False,True,49,232
Hussain_8-2,Fall_from_chair_2,True,False,True,41,214
Hussain_8-2,Fall_slow_collapse,True,False,True,229,457
Sanawar_7-22,Fall_Curled,True,False,False,0,105
Sanawar_7-22,Fast_Sit,False,False,False,0,63
Sanawar_7-22,Lying_legs_straight,False,False,False,0,147
Sanawar_7-22,Lying_straight,False,False,False,0,147
Sanawar_7-22,newTest,False,False,True,535,3470
Sanawar_7-22,Normal_Fall_1,True,False,True,1,163
Sanawar_7-22,Normal_Fall_2,True,False,True,31,131
Sanawar_7-22,normal,True,True,True,250,384
Sanawar_7-22,Off_axis,False,False,False,0,190
Sanawar_7-22,old,True,True,True,150,615
Sanawar_7-22,Sit_1,False,False,False,0,157
Sanawar_7-22,Sit_2,False,False,False,0,150
Sanawar_7-22,Sit_3,False,False,False,0,176
Sanawar_7-22,Standing_1,False,False,False,0,168
Sanawar_7-22,Standing_2,False,False,False,0,180
Sanawar_7-22,Standing_3,False,False,False,0,127
Sanawar_7-25,Backward_fall,True,False,False,0,111
Sanawar_7-25,Chair_fall,True,False,False,0,250
Sanawar_7-25,Fall_and_lie,True,False,True,32,354
Sanawar_7-25,Far_fall,True,False,True,29,129
Sanawar_7-25,Occluded_fall,True,False,True,67,171
Sanawar_7-25,Off_axis_fall,True,False,True,35,124
Sanawar_7-25,Side_fall,True,False,True,60,163
Sanawar_7-25,Slow_fall,True,False,True,38,205
round4_8-7-26,Bed_lie_and_immediate_stand,False,False,False,0,141
round4_8-7-26,Bed_lie,False,False,True,56,228
round4_8-7-26,Bed_long_lie,False,False,False,0,685
round4_8-7-26,Bed_medium_pace_lie,False,False,True,48,125
round4_8-7-26,Floor_lie_and_immediate_stand,False,False,True,21,349
round4_8-7-26,Floor_lie,False,False,True,9,298
round4_8-7-26,Floor_long_lie,False,False,True,19,659
round4_8-7-26,Floor_medium_pace_lie,False,False,True,95,195
round4_8-7-26,Floor_partly_lie_beside_bed,False,False,False,0,199
round4_8-7-26,Other_occluded_crouch,False,False,False,0,292
round4_8-7-26,Other_occluded_stand,False,False,False,0,198
round4_8-7-26,Other_sit_desk,False,False,False,0,221
round4_8-7-26,Other_walk_out_and_back,False,False,True,92,346
round4_8-7-26,Sofa_lie_and_immediate_stand,False,False,False,0,283
round4_8-7-26,Sofa_lie,False,False,False,0,414
round4_8-7-26,Sofa_long_lie,False,False,True,639,747
round4_8-7-26,Sofa_medium_pace_lie,False,False,False,0,175
