frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.03333333333333333,Standing,False,False,False,0.0,0.55
2,0.06666666666666667,Standing,False,False,False,0.0,0.62
3,0.1,Standing,False,False,False,0.0,0.62
4,0.13333333333333333,Standing,False,False,False,0.0,0.62
5,0.16666666666666666,Standing,False,False,False,0.0,0.62
6,0.2,Standing,False,False,False,0.0,0.62
7,0.23333333333333334,Standing,False,False,False,0.0,0.62
8,0.26666666666666666,Standing,False,False,False,0.0,0.62
9,0.3,Standing,False,False,False,0.0,0.62
10,0.3333333333333333,Standing,False,False,False,0.0,0.62
11,0.36666666666666664,Standing,False,False,False,0.0,0.62
12,0.4,Standing,False,False,False,0.0,0.62
13,0.43333333333333335,Standing,False,False,False,0.0,0.62
14,0.4666666666666667,Standing,False,False,False,0.0,0.62
15,0.5,Standing,False,False,False,0.0,0.62
16,0.5333333333333333,Standing,False,False,False,0.0,0.62
17,0.5666666666666667,Standing,False,False,False,0.0,0.62
18,0.6,Standing,False,False,False,0.0,0.62
19,0.6333333333333333,Standing,False,False,False,0.0,0.62
20,0.6666666666666666,Standing,False,False,False,0.0,0.62
21,0.7,Standing,False,False,False,0.0,0.62
22,0.7333333333333333,Standing,False,False,False,0.0,0.62
23,0.7666666666666667,Standing,False,False,False,0.0,0.62
24,0.8,Standing,False,False,False,0.0,0.62
25,0.8333333333333334,Standing,False,False,False,0.0,0.62
26,0.8666666666666667,Standing,False,False,False,0.0,0.62
27,0.9,Standing,False,False,False,0.0,0.62
28,0.9333333333333333,Standing,False,False,False,0.0,0.62
29,0.9666666666666667,Standing,False,False,False,0.0,0.62
30,1.0,Standing,False,False,False,0.0603,0.62
31,1.0333333333333334,Standing,False,False,False,0.0676,0.62
32,1.0666666666666667,Standing,False,False,False,0.0789,0.62
33,1.1,Standing,False,False,False,0.098,0.62
34,1.1333333333333333,Lying,False,False,False,0.1296,0.65
35,1.1666666666666667,Lying,False,False,False,0.1823,0.65
36,1.2,Lying,False,False,False,0.2539,0.65
37,1.2333333333333334,Lying,False,False,False,0.33,0.65
38,1.2666666666666666,Lying,False,False,False,0.3866,0.65
39,1.3,Lying,False,False,False,0.4121,0.65
40,1.3333333333333333,Lying,False,False,False,0.3978,0.65
41,1.3666666666666667,Lying,False,False,False,0.3482,0.65
42,1.4,Lying,False,False,False,0.3049,0.65
43,1.4333333333333333,Lying,False,False,False,0.2777,0.65
44,1.4666666666666666,Lying,False,False,False,0.2757,0.65
45,1.5,Lying,False,False,False,0.2864,0.65
46,1.5333333333333334,Lying,False,False,False,0.3129,0.65
47,1.5666666666666667,Lying,False,False,False,0.3586,0.65
48,1.6,Lying,False,False,False,0.4146,0.65
49,1.6333333333333333,Lying,False,False,False,0.4815,0.65
50,1.6666666666666667,Lying,False,True,True,0.529,0.65
51,1.7,Lying,False,True,True,0.5991,0.65
52,1.7333333333333334,Lying,False,True,True,0.6595,0.65
53,1.7666666666666666,Lying,False,True,True,0.7189,0.65
54,1.8,Lying,False,True,True,0.7567,0.65
55,1.8333333333333333,Lying,False,True,True,0.7477,0.65
56,1.8666666666666667,Lying,False,True,True,0.7229,0.0
57,1.9,Lying,False,True,True,0.5608,0.65
58,1.9333333333333333,Lying,False,False,False,0.475,0.65
59,1.9666666666666666,Lying,False,False,False,0.4399,0.0
60,2.0,Lying,False,False,False,0.3858,0.0
61,2.033333333333333,Lying,False,True,True,0.5438,0.0
62,2.066666666666667,Lying,False,True,True,0.7056,0.0
63,2.1,Lying,False,True,True,0.5698,0.65
64,2.1333333333333333,Lying,False,True,True,0.5785,0.0
65,2.1666666666666665,Lying,False,False,False,0.3791,0.65
66,2.2,Lying,False,False,False,0.3526,0.65
67,2.2333333333333334,Lying,False,False,False,0.3392,0.65
68,2.2666666666666666,Lying,False,False,False,0.3649,0.65
69,2.3,Lying,False,False,False,0.3003,0.0
70,2.3333333333333335,Lying,False,False,False,0.1996,0.0
71,2.3666666666666667,Lying,False,False,False,0.1096,0.0
72,2.4,Lying,False,False,False,0.0654,0.0
73,2.433333333333333,Lying,False,False,False,0.0404,0.0
74,2.466666666666667,Lying,False,False,False,0.0256,0.0
75,2.5,Lying,False,False,False,0.0185,0.0
76,2.533333333333333,Lying,False,False,False,0.0168,0.0
77,2.566666666666667,Lying,False,False,False,0.0199,0.0
78,2.6,Lying,False,False,False,0.0275,0.0
79,2.6333333333333333,Lying,False,False,False,0.0353,0.0
80,2.6666666666666665,Lying,False,False,False,0.0399,0.0
81,2.7,Lying,False,False,False,0.0504,0.0
82,2.7333333333333334,Lying,False,False,False,0.0705,0.0
83,2.7666666666666666,Lying,False,False,False,0.1033,0.0
84,2.8,Lying,False,False,False,0.1895,0.65
85,2.8333333333333335,Lying,False,False,False,0.2539,0.0
86,2.8666666666666667,Lying,False,False,False,0.329,0.65
87,2.9,Lying,False,False,False,0.4007,0.0
88,2.933333333333333,Lying,False,False,False,0.3483,0.0
89,2.966666666666667,Lying,False,False,False,0.3361,0.0
90,3.0,Lying,False,False,False,0.3225,0.65
91,3.033333333333333,Lying,False,False,False,0.3468,0.65
92,3.066666666666667,Lying,False,False,False,0.3392,0.65
93,3.1,Lying,False,False,False,0.2938,0.65
94,3.1333333333333333,Lying,False,False,False,0.2569,0.65
95,3.1666666666666665,Lying,False,False,False,0.2294,0.65
96,3.2,Lying,False,False,False,0.2187,0.65
97,3.2333333333333334,Lying,False,False,False,0.1899,0.65
98,3.2666666666666666,Lying,False,False,False,0.0578,0.0
99,3.3,Lying,True,False,True,0.076,0.9
100,3.3333333333333335,Lying,False,False,False,0.0549,0.0
101,3.3666666666666667,Lying,False,False,False,0.0727,0.65
102,3.4,Lying,False,False,False,0.0539,0.0
103,3.433333333333333,Lying,False,False,False,0.0671,0.65
104,3.466666666666667,Lying,False,False,False,0.0568,0.65
105,3.5,Lying,False,False,False,0.0391,0.65
