frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.03619444444444444,Standing,False,False,False,0.0,0.55
2,0.07238888888888888,Standing,False,False,False,0.0,0.62
3,0.10858333333333332,Standing,False,False,False,0.0,0.62
4,0.14477777777777776,Standing,False,False,False,0.0,0.62
5,0.1809722222222222,Standing,False,False,False,0.0,0.62
6,0.21716666666666665,Standing,False,False,False,0.0,0.62
7,0.2533611111111111,Standing,False,False,False,0.0,0.62
8,0.2895555555555555,Standing,False,False,False,0.0,0.62
9,0.32575,Standing,False,False,False,0.0,0.62
10,0.3619444444444444,Standing,False,False,False,0.0,0.62
11,0.3981388888888889,Standing,False,False,False,0.0,0.62
12,0.4343333333333333,Standing,False,False,False,0.0,0.62
13,0.47052777777777777,Standing,False,False,False,0.0,0.62
14,0.5067222222222222,Standing,False,False,False,0.0,0.62
15,0.5429166666666666,Standing,False,False,False,0.0,0.62
16,0.579111111111111,Standing,False,False,False,0.0,0.62
17,0.6153055555555556,Standing,False,False,False,0.0,0.62
18,0.6515,Standing,False,False,False,0.0,0.62
19,0.6876944444444444,Standing,False,False,False,0.0,0.62
20,0.7238888888888888,Standing,False,False,False,0.0,0.62
21,0.7600833333333333,Standing,False,False,False,0.0,0.62
22,0.7962777777777778,Standing,False,False,False,0.0,0.62
23,0.8324722222222222,Standing,False,False,False,0.0,0.62
24,0.8686666666666666,Standing,False,False,False,0.0,0.62
25,0.904861111111111,Standing,False,False,False,0.0,0.62
26,0.9410555555555555,Standing,False,False,False,0.0,0.62
27,0.97725,Standing,False,False,False,0.0,0.62
28,1.0134444444444444,Standing,False,False,False,0.0,0.62
29,1.0496388888888888,Standing,False,False,False,0.0,0.62
30,1.0858333333333332,Standing,False,False,False,0.1931,0.62
31,1.1220277777777776,Standing,False,False,False,0.2117,0.62
32,1.158222222222222,Standing,False,False,False,0.2132,0.62
33,1.1944166666666667,Standing,False,False,False,0.2153,0.62
34,1.230611111111111,Standing,False,False,False,0.2137,0.62
35,1.2668055555555555,Standing,False,False,False,0.2081,0.62
36,1.303,Standing,False,False,False,0.2034,0.62
37,1.3391944444444444,Standing,False,False,False,0.1924,0.62
38,1.3753888888888888,Standing,False,False,False,0.1756,0.62
