frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.03333333333333333,Standing,False,False,False,0.0,0.55
2,0.06666666666666667,Standing,False,False,False,0.0,0.62
3,0.1,Standing,False,False,False,0.0,0.62
4,0.13333333333333333,Standing,False,False,False,0.0,0.62
5,0.16666666666666666,Standing,False,False,False,0.0,0.62
6,0.2,Standing,False,False,False,0.0,0.62
7,0.23333333333333334,Standing,False,False,False,0.0,0.62
8,0.26666666666666666,Standing,False,False,False,0.0,0.62
9,0.3,Standing,False,False,False,0.0,0.62
10,0.3333333333333333,Standing,False,False,False,0.0,0.62
11,0.36666666666666664,Standing,False,False,False,0.0,0.62
12,0.4,Standing,False,False,False,0.0,0.62
13,0.43333333333333335,Standing,False,False,False,0.0,0.62
14,0.4666666666666667,Standing,False,False,False,0.0,0.62
15,0.5,Standing,False,False,False,0.0,0.62
16,0.5333333333333333,Standing,False,False,False,0.0,0.62
17,0.5666666666666667,Standing,False,False,False,0.0,0.62
18,0.6,Standing,False,False,False,0.0,0.62
19,0.6333333333333333,Standing,False,False,False,0.0,0.62
20,0.6666666666666666,Standing,False,False,False,0.0,0.62
21,0.7,Standing,False,False,False,0.0,0.62
22,0.7333333333333333,Standing,False,False,False,0.0,0.62
23,0.7666666666666667,Standing,False,False,False,0.0,0.62
24,0.8,Standing,False,False,False,0.0,0.62
25,0.8333333333333334,Standing,False,False,False,0.0,0.62
26,0.8666666666666667,Standing,False,False,False,0.0,0.62
27,0.9,Standing,False,False,False,0.0,0.62
28,0.9333333333333333,Standing,False,False,False,0.0,0.62
29,0.9666666666666667,Standing,False,False,False,0.0,0.62
30,1.0,Standing,False,False,False,0.0,0.62
31,1.0333333333333334,Standing,False,False,False,0.0,0.62
32,1.0666666666666667,Standing,False,False,False,0.0,0.62
33,1.1,Standing,False,False,False,0.0,0.62
34,1.1333333333333333,Lying,False,False,False,0.0,0.65
35,1.1666666666666667,Lying,False,False,False,0.0,0.65
36,1.2,Lying,False,False,False,0.0,0.65
37,1.2333333333333334,Lying,False,False,False,0.0,0.65
38,1.2666666666666666,Lying,False,False,False,0.0,0.65
39,1.3,Lying,False,False,False,0.0,0.65
40,1.3333333333333333,Lying,False,False,False,0.0,0.65
41,1.3666666666666667,Lying,False,False,False,0.0,0.65
42,1.4,Lying,False,False,False,0.0,0.65
43,1.4333333333333333,Lying,False,False,False,0.0,0.65
44,1.4666666666666666,Lying,False,False,False,0.0,0.65
45,1.5,Lying,False,False,False,0.0,0.65
46,1.5333333333333334,Lying,False,False,False,0.002,0.65
47,1.5666666666666667,Lying,False,False,False,0.0019,0.65
48,1.6,Lying,False,False,False,0.0017,0.65
49,1.6333333333333333,Lying,False,False,False,0.0016,0.65
50,1.6666666666666667,Lying,False,False,False,0.0015,0.65
51,1.7,Lying,False,False,False,0.0013,0.65
52,1.7333333333333334,Lying,False,False,False,0.0012,0.65
53,1.7666666666666666,Lying,False,False,False,0.0011,0.65
54,1.8,Lying,False,False,False,0.0011,0.65
55,1.8333333333333333,Lying,False,False,False,0.0011,0.65
56,1.8666666666666667,Lying,False,False,False,0.0008,0.0
57,1.9,Lying,False,False,False,0.0012,0.65
58,1.9333333333333333,Lying,False,False,False,0.0012,0.65
59,1.9666666666666666,Lying,False,False,False,0.0011,0.0
60,2.0,Lying,False,False,False,0.0013,0.0
61,2.033333333333333,Lying,False,False,False,0.0012,0.0
62,2.066666666666667,Lying,False,False,False,0.0009,0.0
63,2.1,Lying,False,False,False,0.0015,0.65
64,2.1333333333333333,Lying,False,False,False,0.0012,0.0
65,2.1666666666666665,Lying,False,False,False,0.0019,0.65
66,2.2,Lying,False,False,False,0.0024,0.65
67,2.2333333333333334,Lying,False,False,False,0.0041,0.65
68,2.2666666666666666,Lying,False,False,False,0.0115,0.65
69,2.3,Lying,False,False,False,0.0151,0.0
70,2.3333333333333335,Lying,False,False,False,0.026,0.0
71,2.3666666666666667,Lying,False,False,False,0.0283,0.0
72,2.4,Lying,False,False,False,0.0189,0.0
73,2.433333333333333,Lying,False,False,False,0.0102,0.0
74,2.466666666666667,Lying,False,False,False,0.0059,0.0
75,2.5,Lying,False,False,False,0.0042,0.0
76,2.533333333333333,Lying,False,False,False,0.0044,0.0
77,2.566666666666667,Lying,False,False,False,0.0055,0.0
78,2.6,Lying,False,False,False,0.0068,0.0
79,2.6333333333333333,Lying,False,False,False,0.0069,0.0
80,2.6666666666666665,Lying,False,False,False,0.0068,0.0
81,2.7,Lying,False,False,False,0.0088,0.0
82,2.7333333333333334,Lying,False,False,False,0.0186,0.0
83,2.7666666666666666,Lying,False,False,False,0.0785,0.0
84,2.8,Lying,False,False,False,0.1081,0.65
85,2.8333333333333335,Lying,False,False,False,0.5492,0.0
86,2.8666666666666667,Lying,False,False,False,0.6255,0.65
87,2.9,Lying,False,False,False,0.9434,0.0
88,2.933333333333333,Lying,False,False,False,0.9988,0.0
89,2.966666666666667,Lying,False,False,False,0.999,0.0
90,3.0,Lying,False,True,True,0.9981,0.65
91,3.033333333333333,Lying,False,True,True,0.9964,0.65
92,3.066666666666667,Lying,False,True,True,0.9913,0.65
93,3.1,Lying,False,True,True,0.969,0.65
94,3.1333333333333333,Lying,False,True,True,0.9358,0.65
95,3.1666666666666665,Lying,False,True,True,0.6294,0.65
96,3.2,Lying,False,False,False,0.2676,0.65
97,3.2333333333333334,Lying,False,False,False,0.1575,0.65
98,3.2666666666666666,Lying,False,False,False,0.9919,0.0
99,3.3,Lying,True,False,True,0.9925,0.9
100,3.3333333333333335,Lying,False,False,False,0.9963,0.0
101,3.3666666666666667,Lying,False,False,False,0.9929,0.65
102,3.4,Lying,False,False,False,0.9942,0.0
103,3.433333333333333,Lying,False,True,True,0.9842,0.65
104,3.466666666666667,Lying,False,True,True,0.978,0.65
105,3.5,Lying,False,True,True,0.9658,0.65
