frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.03333333333333333,Standing,False,False,False,0.0,0.55
2,0.06666666666666667,Standing,False,False,False,0.0,0.62
3,0.1,Standing,False,False,False,0.0,0.62
4,0.13333333333333333,Standing,False,False,False,0.0,0.62
5,0.16666666666666666,Standing,False,False,False,0.0,0.62
6,0.2,Standing,False,False,False,0.0,0.62
7,0.23333333333333334,Standing,False,False,False,0.0,0.62
8,0.26666666666666666,Standing,False,False,False,0.0,0.62
9,0.3,Standing,False,False,False,0.0,0.62
10,0.3333333333333333,Standing,False,False,False,0.0,0.62
11,0.36666666666666664,Standing,False,False,False,0.0,0.62
12,0.4,Standing,False,False,False,0.0,0.62
13,0.43333333333333335,Standing,False,False,False,0.0,0.62
14,0.4666666666666667,Standing,False,False,False,0.0,0.62
15,0.5,Standing,False,False,False,0.0,0.62
16,0.5333333333333333,Standing,False,False,False,0.0,0.62
17,0.5666666666666667,Standing,False,False,False,0.0,0.62
18,0.6,Standing,False,False,False,0.0,0.62
19,0.6333333333333333,Standing,False,False,False,0.0,0.62
20,0.6666666666666666,Standing,False,False,False,0.0,0.62
21,0.7,Standing,False,False,False,0.0,0.62
22,0.7333333333333333,Standing,False,False,False,0.0,0.62
23,0.7666666666666667,Standing,False,False,False,0.0,0.62
24,0.8,Standing,False,False,False,0.0,0.62
25,0.8333333333333334,Standing,False,False,False,0.0,0.62
26,0.8666666666666667,Standing,False,False,False,0.0,0.62
27,0.9,Standing,False,False,False,0.0,0.62
28,0.9333333333333333,Standing,False,False,False,0.0,0.62
29,0.9666666666666667,Sitting,False,False,False,0.0,0.62
30,1.0,Sitting,False,False,False,0.0,0.62
31,1.0333333333333334,Sitting,False,False,False,0.0,0.62
32,1.0666666666666667,Sitting,False,False,False,0.0,0.62
33,1.1,Sitting,False,False,False,0.0,0.62
34,1.1333333333333333,Sitting,False,False,False,0.0,0.62
35,1.1666666666666667,Sitting,False,False,False,0.0,0.62
36,1.2,Sitting,False,False,False,0.0,0.62
37,1.2333333333333334,Sitting,False,False,False,0.0,0.62
38,1.2666666666666666,Sitting,False,False,False,0.0,0.62
39,1.3,Sitting,False,False,False,0.0,0.62
40,1.3333333333333333,Sitting,False,False,False,0.0,0.62
41,1.3666666666666667,Sitting,False,False,False,0.0,0.62
42,1.4,Sitting,False,False,False,0.0,0.62
43,1.4333333333333333,Sitting,False,False,False,0.0,0.62
44,1.4666666666666666,Sitting,False,False,False,0.0,0.62
45,1.5,Sitting,False,False,False,0.0,0.62
46,1.5333333333333334,Sitting,False,False,False,0.9673,0.62
47,1.5666666666666667,Sitting,False,False,False,0.9593,0.62
48,1.6,Sitting,False,False,False,0.953,0.62
49,1.6333333333333333,Sitting,False,False,False,0.946,0.62
50,1.6666666666666667,Sitting,False,False,False,0.9386,0.62
51,1.7,Sitting,False,True,True,0.9321,0.62
52,1.7333333333333334,Sitting,False,True,True,0.9246,0.62
53,1.7666666666666666,Sitting,False,True,True,0.9177,0.62
54,1.8,Sitting,False,True,True,0.9087,0.62
55,1.8333333333333333,Sitting,False,True,True,0.8882,0.62
56,1.8666666666666667,Sitting,False,True,True,0.8533,0.62
57,1.9,Sitting,False,True,True,0.7913,0.62
58,1.9333333333333333,Sitting,False,True,True,0.7086,0.62
59,1.9666666666666666,Sitting,False,True,True,0.6207,0.62
60,2.0,Sitting,False,True,True,0.5148,0.62
61,2.033333333333333,Sitting,False,False,False,0.4137,0.62
62,2.066666666666667,Sitting,False,False,False,0.3431,0.62
63,2.1,Sitting,False,False,False,0.29,0.62
