frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.03332199546485261,Lying,False,False,False,0.0,0.6
2,0.06664399092970522,Lying,False,False,False,0.0,0.65
3,0.09996598639455782,Lying,False,False,False,0.0,0.65
4,0.13328798185941043,Lying,False,False,False,0.0,0.65
5,0.16660997732426305,Lying,False,False,False,0.0,0.65
6,0.19993197278911565,Lying,False,False,False,0.0,0.65
7,0.23325396825396827,Lying,False,False,False,0.0,0.65
8,0.26657596371882086,Lying,False,False,False,0.0,0.65
9,0.29989795918367346,Lying,False,False,False,0.0,0.65
10,0.3332199546485261,Lying,False,False,False,0.0,0.65
11,0.3665419501133787,Lying,False,False,False,0.0,0.65
12,0.3998639455782313,Lying,False,False,False,0.0,0.65
13,0.4331859410430839,Lying,False,False,False,0.0,0.65
14,0.46650793650793654,Lying,False,False,False,0.0,0.65
15,0.49982993197278913,Lying,False,False,False,0.0,0.65
16,0.5331519274376417,Lying,False,False,False,0.0,0.65
17,0.5664739229024943,Lying,False,False,False,0.0,0.65
18,0.5997959183673469,Lying,False,False,False,0.0,0.65
19,0.6331179138321996,Lying,False,False,False,0.0,0.65
20,0.6664399092970522,Lying,False,False,False,0.0,0.65
21,0.6997619047619048,Lying,False,False,False,0.0,0.65
22,0.7330839002267574,Lying,False,False,False,0.0,0.65
23,0.76640589569161,Lying,False,False,False,0.0,0.65
24,0.7997278911564626,Lying,False,False,False,0.0,0.65
25,0.8330498866213152,Lying,False,False,False,0.0,0.65
26,0.8663718820861678,Lying,False,False,False,0.0,0.65
27,0.8996938775510205,Lying,False,False,False,0.0,0.65
28,0.9330158730158731,Lying,False,False,False,0.0,0.65
29,0.9663378684807257,Lying,False,False,False,0.0,0.65
30,0.9996598639455783,Lying,False,False,False,0.0,0.65
31,1.032981859410431,Lying,False,False,False,0.0,0.65
32,1.0663038548752835,Lying,False,False,False,0.0,0.65
33,1.0996258503401362,Lying,False,False,False,0.0,0.65
34,1.1329478458049886,Lying,False,False,False,0.0,0.65
35,1.1662698412698413,Lying,False,False,False,0.0,0.65
36,1.1995918367346938,Lying,False,False,False,0.0,0.65
37,1.2329138321995465,Lying,False,False,False,0.0,0.65
38,1.2662358276643992,Lying,False,False,False,0.0,0.65
39,1.2995578231292517,Lying,False,False,False,0.0,0.65
40,1.3328798185941044,Lying,False,False,False,0.0,0.65
41,1.366201814058957,Lying,False,False,False,0.0,0.65
42,1.3995238095238096,Lying,False,False,False,0.0,0.65
43,1.432845804988662,Lying,False,False,False,0.0,0.65
44,1.4661678004535148,Lying,False,False,False,0.0,0.65
45,1.4994897959183675,Lying,False,False,False,0.0,0.65
46,1.53281179138322,Lying,False,False,False,0.0832,0.65
47,1.5661337868480727,Lying,False,False,False,0.0839,0.65
48,1.5994557823129252,Lying,False,False,False,0.0785,0.65
49,1.6327777777777779,Lying,False,False,False,0.0776,0.65
