frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.03333333333333333,Standing,False,False,False,0.0,0.55
2,0.06666666666666667,Standing,False,False,False,0.0,0.62
3,0.1,Standing,False,False,False,0.0,0.62
4,0.13333333333333333,Standing,False,False,False,0.0,0.62
5,0.16666666666666666,Standing,False,False,False,0.0,0.62
6,0.2,Standing,False,False,False,0.0,0.62
7,0.23333333333333334,Standing,False,False,False,0.0,0.62
8,0.26666666666666666,Standing,False,False,False,0.0,0.62
9,0.3,Standing,False,False,False,0.0,0.62
10,0.3333333333333333,Standing,False,False,False,0.0,0.62
11,0.36666666666666664,Standing,False,False,False,0.0,0.62
12,0.4,Standing,False,False,False,0.0,0.62
13,0.43333333333333335,Standing,False,False,False,0.0,0.62
14,0.4666666666666667,Standing,False,False,False,0.0,0.62
15,0.5,Standing,False,False,False,0.0,0.62
16,0.5333333333333333,Standing,False,False,False,0.0,0.62
17,0.5666666666666667,Standing,False,False,False,0.0,0.62
18,0.6,Standing,False,False,False,0.0,0.62
19,0.6333333333333333,Standing,False,False,False,0.0,0.62
20,0.6666666666666666,Standing,False,False,False,0.0,0.62
21,0.7,Standing,False,False,False,0.0,0.62
22,0.7333333333333333,Standing,False,False,False,0.0,0.62
23,0.7666666666666667,Standing,False,False,False,0.0,0.62
24,0.8,Standing,False,False,False,0.0,0.62
25,0.8333333333333334,Standing,False,False,False,0.0,0.62
26,0.8666666666666667,Standing,False,False,False,0.0,0.62
27,0.9,Standing,False,False,False,0.0,0.62
28,0.9333333333333333,Standing,False,False,False,0.0,0.62
29,0.9666666666666667,Standing,False,False,False,0.0,0.62
30,1.0,Standing,False,False,False,0.0,0.62
31,1.0333333333333334,Standing,False,False,False,0.0,0.62
32,1.0666666666666667,Standing,False,False,False,0.0,0.62
33,1.1,Standing,False,False,False,0.0,0.62
34,1.1333333333333333,Standing,False,False,False,0.0,0.62
35,1.1666666666666667,Standing,False,False,False,0.0,0.62
36,1.2,Standing,False,False,False,0.0,0.62
37,1.2333333333333334,Standing,False,False,False,0.0,0.62
38,1.2666666666666666,Standing,False,False,False,0.0,0.62
39,1.3,Standing,False,False,False,0.0,0.62
40,1.3333333333333333,Standing,False,False,False,0.0,0.62
41,1.3666666666666667,Standing,False,False,False,0.0,0.62
42,1.4,Standing,False,False,False,0.0,0.62
43,1.4333333333333333,Standing,False,False,False,0.0,0.62
44,1.4666666666666666,Standing,False,False,False,0.0,0.62
45,1.5,Standing,False,False,False,0.0,0.62
46,1.5333333333333334,Standing,False,False,False,0.0253,0.62
47,1.5666666666666667,Standing,False,False,False,0.0254,0.62
48,1.6,Standing,False,False,False,0.026,0.62
49,1.6333333333333333,Standing,False,False,False,0.0278,0.62
50,1.6666666666666667,Standing,False,False,False,0.0369,0.62
51,1.7,Standing,False,False,False,0.0552,0.62
52,1.7333333333333334,Standing,False,False,False,0.0909,0.62
53,1.7666666666666666,Standing,False,False,False,0.1262,0.62
54,1.8,Standing,False,False,False,0.1497,0.62
55,1.8333333333333333,Standing,False,False,False,0.1717,0.62
56,1.8666666666666667,Standing,False,False,False,0.1908,0.62
57,1.9,Standing,False,False,False,0.2163,0.62
58,1.9333333333333333,Standing,False,False,False,0.2466,0.62
59,1.9666666666666666,Standing,False,False,False,0.2585,0.62
60,2.0,Standing,False,False,False,0.2826,0.62
61,2.033333333333333,Standing,False,False,False,0.3044,0.62
62,2.066666666666667,Standing,False,False,False,0.3363,0.62
63,2.1,Standing,False,False,False,0.3759,0.62
64,2.1333333333333333,Standing,False,False,False,0.4299,0.62
65,2.1666666666666665,Standing,False,False,False,0.5346,0.62
66,2.2,Standing,False,False,False,0.6574,0.62
67,2.2333333333333334,Standing,False,False,False,0.7619,0.62
68,2.2666666666666666,Standing,False,False,False,0.862,0.62
69,2.3,Lying,False,False,False,0.9298,0.65
70,2.3333333333333335,Lying,False,True,True,0.9592,0.65
71,2.3666666666666667,Lying,False,True,True,0.9868,0.0
72,2.4,Lying,False,True,True,0.9901,0.0
73,2.433333333333333,Lying,False,True,True,0.9817,0.0
74,2.466666666666667,Lying,False,True,True,0.9886,0.65
75,2.5,Lying,False,True,True,0.9961,0.65
76,2.533333333333333,Lying,False,True,True,0.998,0.65
77,2.566666666666667,Lying,False,True,True,0.9985,0.65
78,2.6,Lying,False,True,True,0.9993,0.0
79,2.6333333333333333,Lying,False,True,True,0.9994,0.0
80,2.6666666666666665,Lying,False,True,True,0.9992,0.0
81,2.7,Lying,False,True,True,0.9984,0.0
82,2.7333333333333334,Lying,False,True,True,0.9961,0.0
83,2.7666666666666666,Lying,False,True,True,0.991,0.0
84,2.8,Lying,False,True,True,0.9856,0.0
85,2.8333333333333335,Lying,False,True,True,0.9847,0.0
86,2.8666666666666667,Lying,False,True,True,0.9888,0.0
87,2.9,Lying,False,True,True,0.9923,0.0
88,2.933333333333333,Lying,False,True,True,0.9929,0.0
89,2.966666666666667,Lying,False,True,True,0.9922,0.0
90,3.0,Lying,False,True,True,0.9892,0.0
91,3.033333333333333,Lying,False,True,True,0.979,0.0
92,3.066666666666667,Lying,False,True,True,0.9506,0.0
93,3.1,Lying,False,True,True,0.8708,0.0
94,3.1333333333333333,Lying,False,True,True,0.7569,0.0
95,3.1666666666666665,Lying,False,False,False,0.4605,0.0
96,3.2,Lying,False,False,False,0.0263,0.0
97,3.2333333333333334,Lying,False,False,False,0.0007,0.0
98,3.2666666666666666,Lying,True,False,True,0.0002,0.0
99,3.3,Lying,True,False,True,0.0001,0.0
100,3.3333333333333335,Lying,True,False,True,0.0004,0.0
101,3.3666666666666667,Lying,True,False,True,0.0002,0.0
102,3.4,Lying,True,False,True,0.0002,0.0
103,3.433333333333333,Lying,True,False,True,0.0001,0.0
104,3.466666666666667,Lying,True,False,True,0.0001,0.0
105,3.5,Lying,True,False,True,0.0001,0.0
106,3.533333333333333,Lying,True,False,True,0.0001,0.0
107,3.566666666666667,Lying,True,False,True,0.1294,0.0
108,3.6,Lying,True,False,True,0.1294,0.0
109,3.6333333333333333,Lying,True,False,True,0.1294,0.0
110,3.6666666666666665,Lying,True,False,True,0.1294,0.0
111,3.7,Lying,True,False,True,0.1294,0.0
112,3.7333333333333334,Lying,True,False,True,0.1294,0.0
113,3.7666666666666666,Lying,True,False,True,0.1294,0.0
114,3.8,Lying,True,False,True,0.1294,0.0
115,3.8333333333333335,Lying,True,False,True,0.1294,0.0
116,3.8666666666666667,Lying,True,False,True,0.1294,0.0
117,3.9,Lying,True,False,True,0.1294,0.0
118,3.933333333333333,Lying,True,False,True,0.1294,0.0
119,3.966666666666667,Lying,True,False,True,0.1294,0.0
120,4.0,Lying,True,False,True,0.1294,0.0
121,4.033333333333333,Lying,True,False,True,0.1294,0.0
122,4.066666666666666,Lying,True,False,True,0.1294,0.0
123,4.1,Lying,True,False,True,0.1294,0.0
124,4.133333333333334,Lying,True,False,True,0.1294,0.0
125,4.166666666666667,Lying,True,False,True,0.1294,0.0
126,4.2,Lying,True,False,True,0.1294,0.0
127,4.233333333333333,Lying,True,False,True,0.1294,0.0
128,4.266666666666667,Lying,True,False,True,0.1294,0.0
129,4.3,Lying,True,False,True,0.1294,0.0
130,4.333333333333333,Lying,True,False,True,0.1294,0.0
131,4.366666666666666,Lying,True,False,True,0.1294,0.0
