frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.01667723342939481,Unknown,False,False,False,0.0,0.0
2,0.03335446685878962,Unknown,False,False,False,0.0,0.0
3,0.05003170028818444,Unknown,False,False,False,0.0,0.0
4,0.06670893371757924,Unknown,False,False,False,0.0,0.0
5,0.08338616714697407,Unknown,False,False,False,0.0,0.0
6,0.10006340057636888,Unknown,False,False,False,0.0,0.0
7,0.11674063400576369,Unknown,False,False,False,0.0,0.0
8,0.1334178674351585,Unknown,False,False,False,0.0,0.0
9,0.15009510086455333,Unknown,False,False,False,0.0,0.0
10,0.16677233429394814,Unknown,False,False,False,0.0,0.0
11,0.18344956772334295,Unknown,False,False,False,0.0,0.0
12,0.20012680115273776,Unknown,False,False,False,0.0,0.0
13,0.21680403458213257,Unknown,False,False,False,0.0,0.0
14,0.23348126801152738,Unknown,False,False,False,0.0,0.0
15,0.25015850144092217,Unknown,False,False,False,0.0,0.0
16,0.266835734870317,Unknown,False,False,False,0.0,0.0
17,0.28351296829971184,Unknown,False,False,False,0.0,0.0
18,0.30019020172910665,Unknown,False,False,False,0.0,0.0
19,0.31686743515850146,Unknown,False,False,False,0.0,0.0
20,0.3335446685878963,Unknown,False,False,False,0.0,0.0
21,0.3502219020172911,Unknown,False,False,False,0.0,0.0
22,0.3668991354466859,Unknown,False,False,False,0.0,0.0
23,0.3835763688760807,Unknown,False,False,False,0.0,0.0
24,0.4002536023054755,Unknown,False,False,False,0.0,0.0
25,0.41693083573487033,Unknown,False,False,False,0.0,0.0
26,0.43360806916426514,Unknown,False,False,False,0.0,0.0
27,0.45028530259365995,Unknown,False,False,False,0.0,0.0
28,0.46696253602305476,Unknown,False,False,False,0.0,0.0
29,0.4836397694524496,Unknown,False,False,False,0.0,0.0
30,0.5003170028818443,Unknown,False,False,False,0.0,0.0
31,0.5169942363112392,Unknown,False,False,False,0.0,0.0
32,0.533671469740634,Unknown,False,False,False,0.0,0.0
33,0.5503487031700288,Unknown,False,False,False,0.0,0.0
34,0.5670259365994237,Unknown,False,False,False,0.0,0.0
35,0.5837031700288184,Unknown,False,False,False,0.0,0.0
36,0.6003804034582133,Unknown,False,False,False,0.0,0.0
37,0.6170576368876081,Unknown,False,False,False,0.0,0.0
38,0.6337348703170029,Unknown,False,False,False,0.0,0.0
39,0.6504121037463977,Unknown,False,False,False,0.0,0.0
40,0.6670893371757926,Unknown,False,False,False,0.0,0.0
41,0.6837665706051873,Unknown,False,False,False,0.0,0.0
42,0.7004438040345822,Unknown,False,False,False,0.0,0.0
43,0.7171210374639769,Unknown,False,False,False,0.0,0.0
44,0.7337982708933718,Unknown,False,False,False,0.0,0.0
45,0.7504755043227666,Unknown,False,False,False,0.0,0.0
46,0.7671527377521614,Unknown,False,False,False,0.1294,0.0
47,0.7838299711815562,Unknown,False,False,False,0.1294,0.0
48,0.800507204610951,Unknown,False,False,False,0.1294,0.0
49,0.8171844380403458,Unknown,False,False,False,0.1294,0.0
50,0.8338616714697407,Unknown,False,False,False,0.1294,0.0
51,0.8505389048991354,Unknown,False,False,False,0.1294,0.0
52,0.8672161383285303,Unknown,False,False,False,0.1294,0.0
53,0.883893371757925,Unknown,False,False,False,0.1294,0.0
54,0.9005706051873199,Unknown,False,False,False,0.1294,0.0
55,0.9172478386167147,Unknown,False,False,False,0.1294,0.0
56,0.9339250720461095,Unknown,False,False,False,0.1294,0.0
57,0.9506023054755043,Unknown,False,False,False,0.1294,0.0
58,0.9672795389048991,Unknown,False,False,False,0.1294,0.0
59,0.9839567723342939,Unknown,False,False,False,0.1294,0.0
60,1.0006340057636887,Unknown,False,False,False,0.1294,0.0
61,1.0173112391930836,Unknown,False,False,False,0.1294,0.0
62,1.0339884726224784,Unknown,False,False,False,0.1294,0.0
63,1.0506657060518731,Unknown,False,False,False,0.1294,0.0
64,1.067342939481268,Unknown,False,False,False,0.1294,0.0
65,1.0840201729106629,Unknown,False,False,False,0.1294,0.0
66,1.1006974063400576,Unknown,False,False,False,0.1294,0.0
67,1.1173746397694524,Unknown,False,False,False,0.1294,0.0
68,1.1340518731988474,Unknown,False,False,False,0.1294,0.0
69,1.1507291066282421,Unknown,False,False,False,0.1294,0.0
70,1.1674063400576369,Unknown,False,False,False,0.1294,0.0
71,1.1840835734870316,Unknown,False,False,False,0.1294,0.0
72,1.2007608069164266,Unknown,False,False,False,0.2194,0.62
73,1.2174380403458214,Unknown,False,False,False,0.1864,0.0
74,1.2341152737752161,Unknown,False,False,False,0.0905,0.0
75,1.2507925072046109,Unknown,False,False,False,0.0171,0.0
76,1.2674697406340059,Unknown,False,False,False,0.0023,0.0
77,1.2841469740634006,Unknown,False,False,False,0.0006,0.0
78,1.3008242074927954,Unknown,False,False,False,0.0014,0.62
79,1.3175014409221901,Unknown,False,False,False,0.0001,0.0
80,1.334178674351585,Unknown,False,False,False,0.0005,0.62
81,1.3508559077809799,Unknown,False,False,False,0.0018,0.62
82,1.3675331412103746,Unknown,False,False,False,0.0073,0.62
83,1.3842103746397694,Unknown,False,False,False,0.004,0.0
84,1.4008876080691643,Unknown,False,False,False,0.0099,0.0
85,1.417564841498559,Unknown,False,False,False,0.0188,0.0
86,1.4342420749279539,Unknown,False,False,False,0.0069,0.62
87,1.4509193083573486,Unknown,False,False,False,0.0066,0.62
88,1.4675965417867436,Unknown,False,False,False,0.0041,0.0
89,1.4842737752161383,Unknown,False,False,False,0.0071,0.0
90,1.500951008645533,Unknown,False,False,False,0.0183,0.0
91,1.5176282420749279,Unknown,False,False,False,0.0521,0.0
92,1.5343054755043228,Unknown,False,False,False,0.0466,0.0
93,1.5509827089337176,Unknown,False,False,False,0.0227,0.0
94,1.5676599423631123,Unknown,False,False,False,0.0165,0.0
95,1.584337175792507,Unknown,False,False,False,0.021,0.0
96,1.601014409221902,Unknown,False,False,False,0.0091,0.0
97,1.6176916426512968,Unknown,False,False,False,0.0032,0.0
98,1.6343688760806916,Unknown,False,False,False,0.0015,0.0
99,1.6510461095100866,Unknown,False,False,False,0.0016,0.0
100,1.6677233429394813,Unknown,False,False,False,0.0018,0.0
101,1.684400576368876,Unknown,False,False,False,0.0021,0.0
102,1.7010778097982708,Unknown,False,False,False,0.0034,0.0
103,1.7177550432276658,Unknown,False,False,False,0.0044,0.0
104,1.7344322766570606,Unknown,False,False,False,0.0029,0.0
105,1.7511095100864553,Unknown,False,False,False,0.0023,0.0
106,1.76778674351585,Unknown,False,False,False,0.0022,0.0
107,1.784463976945245,Unknown,False,False,False,0.0026,0.0
108,1.8011412103746398,Unknown,False,False,False,0.0118,0.0
109,1.8178184438040346,Unknown,False,False,False,0.0459,0.0
110,1.8344956772334293,Unknown,False,False,False,0.0687,0.0
111,1.8511729106628243,Unknown,False,False,False,0.033,0.0
112,1.867850144092219,Unknown,False,False,False,0.0017,0.0
113,1.8845273775216138,Unknown,False,False,False,0.0006,0.0
114,1.9012046109510086,Unknown,False,False,False,0.0003,0.0
115,1.9178818443804035,Unknown,False,False,False,0.0002,0.0
116,1.9345590778097983,Unknown,False,False,False,0.0002,0.0
117,1.951236311239193,Unknown,False,False,False,0.0006,0.0
118,1.9679135446685878,Unknown,False,False,False,0.0004,0.0
119,1.9845907780979828,Unknown,False,False,False,0.0004,0.0
120,2.0012680115273773,Unknown,False,False,False,0.0003,0.0
121,2.0179452449567723,Unknown,False,False,False,0.0003,0.0
122,2.0346224783861673,Unknown,False,False,False,0.0003,0.0
123,2.051299711815562,Unknown,False,False,False,0.0002,0.0
124,2.067976945244957,Unknown,False,False,False,0.0002,0.0
125,2.0846541786743518,Unknown,False,False,False,0.0002,0.0
126,2.1013314121037463,Unknown,False,False,False,0.0002,0.0
