frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.016663956639566397,Standing,False,False,False,0.0,0.55
2,0.033327913279132794,Standing,False,False,False,0.0,0.62
3,0.04999186991869919,Standing,False,False,False,0.0,0.62
4,0.06665582655826559,Standing,False,False,False,0.0,0.62
5,0.08331978319783198,Standing,False,False,False,0.0,0.62
6,0.09998373983739837,Standing,False,False,False,0.0,0.62
7,0.11664769647696478,Standing,False,False,False,0.0,0.62
8,0.13331165311653118,Standing,False,False,False,0.0,0.62
9,0.14997560975609756,Standing,False,False,False,0.0,0.62
10,0.16663956639566396,Standing,False,False,False,0.0,0.62
11,0.18330352303523037,Standing,False,False,False,0.0,0.62
12,0.19996747967479675,Standing,False,False,False,0.0,0.62
13,0.21663143631436316,Standing,False,False,False,0.0,0.62
14,0.23329539295392956,Standing,False,False,False,0.0,0.62
15,0.24995934959349594,Standing,False,False,False,0.0,0.62
16,0.26662330623306235,Standing,False,False,False,0.0,0.62
17,0.28328726287262873,Standing,False,False,False,0.0,0.62
18,0.2999512195121951,Standing,False,False,False,0.0,0.62
19,0.31661517615176155,Standing,False,False,False,0.0,0.62
20,0.3332791327913279,Standing,False,False,False,0.0,0.62
21,0.3499430894308943,Standing,False,False,False,0.0,0.62
22,0.36660704607046074,Standing,False,False,False,0.0,0.62
23,0.3832710027100271,Standing,False,False,False,0.0,0.62
24,0.3999349593495935,Standing,False,False,False,0.0,0.62
25,0.41659891598915993,Standing,False,False,False,0.0,0.62
26,0.4332628726287263,Standing,False,False,False,0.0,0.62
27,0.4499268292682927,Standing,False,False,False,0.0,0.62
28,0.46659078590785913,Standing,False,False,False,0.0,0.62
29,0.4832547425474255,Standing,False,False,False,0.0,0.62
30,0.4999186991869919,Standing,False,False,False,0.0,0.62
31,0.5165826558265583,Standing,False,False,False,0.0,0.62
32,0.5332466124661247,Standing,False,False,False,0.0,0.62
33,0.5499105691056911,Standing,False,False,False,0.0,0.62
34,0.5665745257452575,Standing,False,False,False,0.0,0.62
35,0.5832384823848239,Standing,False,False,False,0.0,0.62
36,0.5999024390243902,Standing,False,False,False,0.0,0.62
37,0.6165663956639567,Standing,False,False,False,0.0,0.62
38,0.6332303523035231,Standing,False,False,False,0.0,0.62
39,0.6498943089430894,Standing,False,False,False,0.0,0.62
40,0.6665582655826559,Standing,False,False,False,0.0,0.62
41,0.6832222222222223,Standing,False,False,False,0.0,0.62
42,0.6998861788617886,Standing,False,False,False,0.0,0.62
43,0.716550135501355,Standing,False,False,False,0.0,0.62
44,0.7332140921409215,Standing,False,False,False,0.0,0.62
45,0.7498780487804878,Standing,False,False,False,0.0,0.62
46,0.7665420054200542,Standing,False,False,False,0.0001,0.62
47,0.7832059620596207,Standing,False,False,False,0.0001,0.62
48,0.799869918699187,Standing,False,False,False,0.0001,0.62
49,0.8165338753387534,Standing,False,False,False,0.0001,0.62
50,0.8331978319783199,Standing,False,False,False,0.0001,0.62
51,0.8498617886178862,Standing,False,False,False,0.0001,0.62
52,0.8665257452574526,Standing,False,False,False,0.0001,0.62
53,0.8831897018970191,Standing,False,False,False,0.0001,0.62
54,0.8998536585365854,Standing,False,False,False,0.0001,0.62
55,0.9165176151761518,Standing,False,False,False,0.0001,0.62
56,0.9331815718157183,Standing,False,False,False,0.0001,0.62
57,0.9498455284552846,Standing,False,False,False,0.0001,0.62
58,0.966509485094851,Standing,False,False,False,0.0001,0.62
59,0.9831734417344173,Standing,False,False,False,0.0001,0.62
60,0.9998373983739838,Standing,False,False,False,0.0001,0.62
61,1.0165013550135502,Standing,False,False,False,0.0001,0.62
62,1.0331653116531165,Standing,False,False,False,0.0001,0.62
63,1.049829268292683,Standing,False,False,False,0.0001,0.62
64,1.0664932249322494,Standing,False,False,False,0.0001,0.62
65,1.0831571815718157,Standing,False,False,False,0.0001,0.62
66,1.0998211382113823,Standing,False,False,False,0.0001,0.62
