frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.016666666666666666,Standing,False,False,False,0.0,0.55
2,0.03333333333333333,Standing,False,False,False,0.0,0.62
3,0.05,Standing,False,False,False,0.0,0.62
4,0.06666666666666667,Standing,False,False,False,0.0,0.62
5,0.08333333333333333,Standing,False,False,False,0.0,0.62
6,0.1,Standing,False,False,False,0.0,0.62
7,0.11666666666666667,Standing,False,False,False,0.0,0.62
8,0.13333333333333333,Standing,False,False,False,0.0,0.62
9,0.15,Standing,False,False,False,0.0,0.62
10,0.16666666666666666,Standing,False,False,False,0.0,0.62
11,0.18333333333333332,Standing,False,False,False,0.0,0.62
12,0.2,Standing,False,False,False,0.0,0.62
13,0.21666666666666667,Standing,False,False,False,0.0,0.62
14,0.23333333333333334,Standing,False,False,False,0.0,0.62
15,0.25,Standing,False,False,False,0.0,0.62
16,0.26666666666666666,Standing,False,False,False,0.0,0.62
17,0.2833333333333333,Standing,False,False,False,0.0,0.62
18,0.3,Standing,False,False,False,0.0,0.62
19,0.31666666666666665,Standing,False,False,False,0.0,0.62
20,0.3333333333333333,Standing,False,False,False,0.0,0.62
21,0.35,Standing,False,False,False,0.0,0.62
22,0.36666666666666664,Standing,False,False,False,0.0,0.62
23,0.38333333333333336,Standing,False,False,False,0.0,0.62
24,0.4,Standing,False,False,False,0.0,0.62
25,0.4166666666666667,Standing,False,False,False,0.0,0.62
26,0.43333333333333335,Standing,False,False,False,0.0,0.62
27,0.45,Standing,False,False,False,0.0,0.62
28,0.4666666666666667,Standing,False,False,False,0.0,0.62
29,0.48333333333333334,Standing,False,False,False,0.0,0.62
30,0.5,Standing,False,False,False,0.0,0.62
31,0.5166666666666667,Standing,False,False,False,0.0,0.62
32,0.5333333333333333,Standing,False,False,False,0.0,0.62
33,0.55,Standing,False,False,False,0.0,0.62
34,0.5666666666666667,Standing,False,False,False,0.0,0.62
35,0.5833333333333334,Standing,False,False,False,0.0,0.62
36,0.6,Standing,False,False,False,0.0,0.62
37,0.6166666666666667,Standing,False,False,False,0.0,0.62
38,0.6333333333333333,Standing,False,False,False,0.0,0.62
39,0.65,Standing,False,False,False,0.0,0.62
40,0.6666666666666666,Standing,False,False,False,0.0,0.62
41,0.6833333333333333,Standing,False,False,False,0.0,0.62
42,0.7,Standing,False,False,False,0.0,0.62
43,0.7166666666666667,Standing,False,False,False,0.0,0.62
44,0.7333333333333333,Standing,False,False,False,0.0,0.62
45,0.75,Standing,False,False,False,0.0,0.62
46,0.7666666666666667,Standing,False,False,False,0.0001,0.62
47,0.7833333333333333,Standing,False,False,False,0.0001,0.62
48,0.8,Standing,False,False,False,0.0001,0.62
49,0.8166666666666667,Standing,False,False,False,0.0001,0.62
50,0.8333333333333334,Standing,False,False,False,0.0001,0.62
51,0.85,Standing,False,False,False,0.0001,0.62
52,0.8666666666666667,Standing,False,False,False,0.0001,0.62
53,0.8833333333333333,Standing,False,False,False,0.0001,0.62
54,0.9,Standing,False,False,False,0.0001,0.62
55,0.9166666666666666,Standing,False,False,False,0.0001,0.62
56,0.9333333333333333,Standing,False,False,False,0.0001,0.62
57,0.95,Standing,False,False,False,0.0001,0.62
58,0.9666666666666667,Standing,False,False,False,0.0001,0.62
59,0.9833333333333333,Standing,False,False,False,0.0001,0.62
60,1.0,Standing,False,False,False,0.0001,0.62
61,1.0166666666666666,Standing,False,False,False,0.0001,0.62
62,1.0333333333333334,Standing,False,False,False,0.0001,0.62
63,1.05,Standing,False,False,False,0.0001,0.62
64,1.0666666666666667,Standing,False,False,False,0.0001,0.62
65,1.0833333333333333,Standing,False,False,False,0.0001,0.62
66,1.1,Standing,False,False,False,0.0001,0.62
67,1.1166666666666667,Standing,False,False,False,0.0001,0.62
68,1.1333333333333333,Standing,False,False,False,0.0001,0.62
69,1.15,Standing,False,False,False,0.0001,0.62
70,1.1666666666666667,Standing,False,False,False,0.0001,0.62
71,1.1833333333333333,Standing,False,False,False,0.0001,0.62
72,1.2,Standing,False,False,False,0.0001,0.62
