frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.03333333333333333,Standing,False,False,False,0.0,0.55
2,0.06666666666666667,Standing,False,False,False,0.0,0.62
3,0.1,Standing,False,False,False,0.0,0.62
4,0.13333333333333333,Standing,False,False,False,0.0,0.62
5,0.16666666666666666,Standing,False,False,False,0.0,0.62
6,0.2,Standing,False,False,False,0.0,0.62
7,0.23333333333333334,Standing,False,False,False,0.0,0.62
8,0.26666666666666666,Standing,False,False,False,0.0,0.62
9,0.3,Standing,False,False,False,0.0,0.62
10,0.3333333333333333,Standing,False,False,False,0.0,0.62
11,0.36666666666666664,Standing,False,False,False,0.0,0.62
12,0.4,Standing,False,False,False,0.0,0.62
13,0.43333333333333335,Standing,False,False,False,0.0,0.62
14,0.4666666666666667,Standing,False,False,False,0.0,0.62
15,0.5,Standing,False,False,False,0.0,0.62
16,0.5333333333333333,Standing,False,False,False,0.0,0.62
17,0.5666666666666667,Standing,False,False,False,0.0,0.62
18,0.6,Standing,False,False,False,0.0,0.62
19,0.6333333333333333,Standing,False,False,False,0.0,0.62
20,0.6666666666666666,Standing,False,False,False,0.0,0.62
21,0.7,Standing,False,False,False,0.0,0.62
22,0.7333333333333333,Standing,False,False,False,0.0,0.62
23,0.7666666666666667,Standing,False,False,False,0.0,0.62
24,0.8,Standing,False,False,False,0.0,0.62
25,0.8333333333333334,Standing,False,False,False,0.0,0.62
26,0.8666666666666667,Standing,False,False,False,0.0,0.62
27,0.9,Standing,False,False,False,0.0,0.62
28,0.9333333333333333,Standing,False,False,False,0.0,0.62
29,0.9666666666666667,Standing,False,False,False,0.0,0.62
30,1.0,Standing,False,False,False,0.0,0.62
31,1.0333333333333334,Standing,False,False,False,0.0,0.62
32,1.0666666666666667,Standing,False,False,False,0.0,0.62
33,1.1,Standing,False,False,False,0.0,0.62
34,1.1333333333333333,Standing,False,False,False,0.0,0.62
35,1.1666666666666667,Lying,False,False,False,0.0,0.65
36,1.2,Lying,False,False,False,0.0,0.65
37,1.2333333333333334,Lying,False,False,False,0.0,0.65
38,1.2666666666666666,Lying,False,False,False,0.0,0.65
39,1.3,Lying,False,False,False,0.0,0.65
40,1.3333333333333333,Lying,False,False,False,0.0,0.65
41,1.3666666666666667,Lying,False,False,False,0.0,0.65
42,1.4,Lying,False,False,False,0.0,0.65
43,1.4333333333333333,Lying,False,False,False,0.0,0.65
44,1.4666666666666666,Lying,False,False,False,0.0,0.65
45,1.5,Lying,False,False,False,0.0,0.65
46,1.5333333333333334,Lying,False,False,False,0.9967,0.65
47,1.5666666666666667,Lying,False,False,False,0.9968,0.65
48,1.6,Lying,False,False,False,0.9969,0.65
49,1.6333333333333333,Lying,False,False,False,0.9968,0.65
50,1.6666666666666667,Lying,False,False,False,0.9967,0.65
51,1.7,Lying,False,True,True,0.9951,0.65
52,1.7333333333333334,Lying,False,True,True,0.9946,0.65
53,1.7666666666666666,Lying,False,True,True,0.9914,0.65
54,1.8,Lying,False,True,True,0.9865,0.65
55,1.8333333333333333,Lying,False,True,True,0.9683,0.65
56,1.8666666666666667,Lying,False,True,True,0.9421,0.0
57,1.9,Lying,False,True,True,0.9561,0.65
58,1.9333333333333333,Lying,False,True,True,0.9358,0.65
59,1.9666666666666666,Lying,False,True,True,0.9275,0.0
60,2.0,Lying,False,True,True,0.9195,0.0
61,2.033333333333333,Lying,False,True,True,0.9125,0.0
62,2.066666666666667,Lying,False,True,True,0.9016,0.0
63,2.1,Lying,False,True,True,0.9119,0.65
64,2.1333333333333333,Lying,False,True,True,0.9222,0.0
65,2.1666666666666665,Lying,False,True,True,0.9213,0.65
66,2.2,Lying,False,True,True,0.9291,0.65
67,2.2333333333333334,Lying,False,True,True,0.9369,0.65
68,2.2666666666666666,Lying,False,True,True,0.9222,0.65
69,2.3,Lying,False,True,True,0.923,0.0
70,2.3333333333333335,Lying,False,True,True,0.9107,0.0
71,2.3666666666666667,Lying,False,True,True,0.8929,0.0
72,2.4,Lying,False,True,True,0.864,0.0
73,2.433333333333333,Lying,False,True,True,0.7841,0.0
74,2.466666666666667,Lying,False,True,True,0.6202,0.0
75,2.5,Lying,False,True,True,0.5278,0.0
76,2.533333333333333,Lying,False,False,False,0.4273,0.0
77,2.566666666666667,Lying,False,False,False,0.157,0.0
78,2.6,Lying,False,False,False,0.0577,0.0
79,2.6333333333333333,Lying,False,False,False,0.0372,0.0
80,2.6666666666666665,Lying,False,False,False,0.0199,0.0
81,2.7,Lying,False,False,False,0.0891,0.0
82,2.7333333333333334,Lying,False,False,False,0.0176,0.0
83,2.7666666666666666,Lying,False,False,False,0.0519,0.0
84,2.8,Lying,False,False,False,0.1233,0.65
85,2.8333333333333335,Lying,False,False,False,0.1321,0.0
86,2.8666666666666667,Lying,False,False,False,0.4743,0.65
87,2.9,Lying,False,False,False,0.8771,0.0
88,2.933333333333333,Lying,False,False,False,0.1277,0.0
89,2.966666666666667,Lying,False,False,False,0.2686,0.0
90,3.0,Lying,False,False,False,0.4198,0.65
91,3.033333333333333,Lying,False,False,False,0.5894,0.65
92,3.066666666666667,Lying,False,False,False,0.6091,0.65
93,3.1,Lying,False,False,False,0.7366,0.65
94,3.1333333333333333,Lying,False,False,False,0.7377,0.65
95,3.1666666666666665,Lying,False,False,False,0.9365,0.65
96,3.2,Lying,False,True,True,0.9707,0.65
97,3.2333333333333334,Lying,False,True,True,0.9786,0.65
98,3.2666666666666666,Lying,False,False,False,0.3218,0.0
99,3.3,Lying,False,False,False,0.2805,0.65
100,3.3333333333333335,Lying,False,False,False,0.2984,0.0
101,3.3666666666666667,Lying,True,False,True,0.2709,0.9
102,3.4,Lying,False,False,False,0.3111,0.0
103,3.433333333333333,Lying,True,False,True,0.2909,0.9
104,3.466666666666667,Lying,True,False,True,0.2983,0.9
105,3.5,Lying,True,False,True,0.3346,0.9
