frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.03333333333333333,Standing,False,False,False,0.0,0.55
2,0.06666666666666667,Standing,False,False,False,0.0,0.62
3,0.1,Standing,False,False,False,0.0,0.62
4,0.13333333333333333,Standing,False,False,False,0.0,0.62
5,0.16666666666666666,Standing,False,False,False,0.0,0.62
6,0.2,Standing,False,False,False,0.0,0.62
7,0.23333333333333334,Standing,False,False,False,0.0,0.62
8,0.26666666666666666,Standing,False,False,False,0.0,0.62
9,0.3,Standing,False,False,False,0.0,0.62
10,0.3333333333333333,Standing,False,False,False,0.0,0.62
11,0.36666666666666664,Standing,False,False,False,0.0,0.62
12,0.4,Standing,False,False,False,0.0,0.62
13,0.43333333333333335,Standing,False,False,False,0.0,0.62
14,0.4666666666666667,Standing,False,False,False,0.0,0.62
15,0.5,Standing,False,False,False,0.0,0.62
16,0.5333333333333333,Standing,False,False,False,0.0,0.62
17,0.5666666666666667,Standing,False,False,False,0.0,0.62
18,0.6,Standing,False,False,False,0.0,0.62
19,0.6333333333333333,Standing,False,False,False,0.0,0.62
20,0.6666666666666666,Standing,False,False,False,0.0,0.62
21,0.7,Standing,False,False,False,0.0,0.62
22,0.7333333333333333,Standing,False,False,False,0.0,0.62
23,0.7666666666666667,Standing,False,False,False,0.0,0.62
24,0.8,Standing,False,False,False,0.0,0.62
25,0.8333333333333334,Standing,False,False,False,0.0,0.62
26,0.8666666666666667,Standing,False,False,False,0.0,0.62
27,0.9,Standing,False,False,False,0.0,0.62
28,0.9333333333333333,Standing,False,False,False,0.0,0.62
29,0.9666666666666667,Standing,False,False,False,0.0,0.62
30,1.0,Standing,False,False,False,0.0,0.62
31,1.0333333333333334,Standing,False,False,False,0.0,0.62
32,1.0666666666666667,Standing,False,False,False,0.0,0.62
33,1.1,Standing,False,False,False,0.0,0.62
34,1.1333333333333333,Standing,False,False,False,0.0,0.62
35,1.1666666666666667,Standing,False,False,False,0.0,0.62
36,1.2,Standing,False,False,False,0.0,0.62
37,1.2333333333333334,Standing,False,False,False,0.0,0.62
38,1.2666666666666666,Standing,False,False,False,0.0,0.62
39,1.3,Standing,False,False,False,0.0,0.62
40,1.3333333333333333,Standing,False,False,False,0.0,0.62
41,1.3666666666666667,Standing,False,False,False,0.0,0.62
42,1.4,Standing,False,False,False,0.0,0.62
43,1.4333333333333333,Standing,False,False,False,0.0,0.62
44,1.4666666666666666,Standing,False,False,False,0.0,0.62
45,1.5,Standing,False,False,False,0.0,0.62
46,1.5333333333333334,Standing,False,True,True,0.9429,0.62
47,1.5666666666666667,Standing,False,True,True,0.9438,0.62
48,1.6,Standing,False,True,True,0.9444,0.62
49,1.6333333333333333,Standing,False,True,True,0.9437,0.62
50,1.6666666666666667,Standing,False,True,True,0.9426,0.62
51,1.7,Standing,False,True,True,0.9415,0.62
52,1.7333333333333334,Standing,False,True,True,0.9402,0.62
53,1.7666666666666666,Standing,False,True,True,0.9391,0.62
54,1.8,Standing,False,True,True,0.9386,0.62
55,1.8333333333333333,Standing,False,True,True,0.9381,0.62
56,1.8666666666666667,Standing,False,True,True,0.938,0.62
57,1.9,Standing,False,True,True,0.938,0.62
58,1.9333333333333333,Standing,False,True,True,0.9385,0.62
59,1.9666666666666666,Standing,False,True,True,0.9388,0.62
60,2.0,Standing,False,True,True,0.9396,0.62
61,2.033333333333333,Standing,False,True,True,0.9393,0.62
62,2.066666666666667,Standing,False,True,True,0.9382,0.62
63,2.1,Standing,False,True,True,0.9381,0.62
64,2.1333333333333333,Standing,False,True,True,0.9383,0.62
65,2.1666666666666665,Standing,False,True,True,0.9396,0.62
66,2.2,Standing,False,True,True,0.9414,0.62
67,2.2333333333333334,Standing,False,True,True,0.9438,0.62
68,2.2666666666666666,Standing,False,True,True,0.9466,0.62
69,2.3,Standing,False,True,True,0.9489,0.62
70,2.3333333333333335,Standing,False,True,True,0.9508,0.62
71,2.3666666666666667,Standing,False,True,True,0.952,0.62
72,2.4,Standing,False,True,True,0.9533,0.62
73,2.433333333333333,Standing,False,True,True,0.9542,0.62
74,2.466666666666667,Standing,False,True,True,0.9549,0.62
75,2.5,Standing,False,True,True,0.955,0.62
76,2.533333333333333,Standing,False,True,True,0.9554,0.62
77,2.566666666666667,Standing,False,True,True,0.9562,0.62
78,2.6,Standing,False,True,True,0.9564,0.62
79,2.6333333333333333,Standing,False,True,True,0.9569,0.62
80,2.6666666666666665,Standing,False,True,True,0.9574,0.62
81,2.7,Standing,False,True,True,0.9579,0.62
82,2.7333333333333334,Standing,False,True,True,0.9584,0.62
83,2.7666666666666666,Standing,False,True,True,0.9583,0.62
84,2.8,Standing,False,True,True,0.9581,0.62
85,2.8333333333333335,Standing,False,True,True,0.9578,0.62
86,2.8666666666666667,Standing,False,True,True,0.9567,0.62
87,2.9,Standing,False,True,True,0.9555,0.62
88,2.933333333333333,Standing,False,True,True,0.9538,0.62
89,2.966666666666667,Standing,False,True,True,0.9526,0.62
90,3.0,Standing,False,True,True,0.9515,0.62
91,3.033333333333333,Standing,False,True,True,0.951,0.62
92,3.066666666666667,Standing,False,True,True,0.9507,0.62
93,3.1,Standing,False,True,True,0.9504,0.62
94,3.1333333333333333,Standing,False,True,True,0.9506,0.62
95,3.1666666666666665,Standing,False,True,True,0.9505,0.62
96,3.2,Standing,False,True,True,0.9507,0.62
97,3.2333333333333334,Standing,False,True,True,0.9513,0.62
98,3.2666666666666666,Standing,False,True,True,0.9511,0.62
99,3.3,Standing,False,True,True,0.951,0.62
100,3.3333333333333335,Standing,False,True,True,0.9509,0.62
101,3.3666666666666667,Standing,False,True,True,0.9513,0.62
102,3.4,Standing,False,True,True,0.9516,0.62
103,3.433333333333333,Standing,False,True,True,0.9513,0.62
104,3.466666666666667,Standing,False,True,True,0.9514,0.62
105,3.5,Standing,False,True,True,0.9515,0.62
106,3.533333333333333,Standing,False,True,True,0.9502,0.62
107,3.566666666666667,Standing,False,True,True,0.9493,0.62
108,3.6,Standing,False,True,True,0.9486,0.62
109,3.6333333333333333,Standing,False,True,True,0.9473,0.62
110,3.6666666666666665,Standing,False,True,True,0.9456,0.62
111,3.7,Standing,False,True,True,0.9448,0.62
112,3.7333333333333334,Standing,False,True,True,0.9447,0.62
113,3.7666666666666666,Standing,False,True,True,0.9447,0.62
114,3.8,Standing,False,True,True,0.9454,0.62
115,3.8333333333333335,Standing,False,True,True,0.9464,0.62
116,3.8666666666666667,Standing,False,True,True,0.9482,0.62
117,3.9,Standing,False,True,True,0.9504,0.62
118,3.933333333333333,Standing,False,True,True,0.9517,0.62
119,3.966666666666667,Standing,False,True,True,0.9534,0.62
120,4.0,Standing,False,True,True,0.9541,0.62
121,4.033333333333333,Standing,False,True,True,0.9552,0.62
122,4.066666666666666,Standing,False,True,True,0.9564,0.62
123,4.1,Standing,False,True,True,0.9565,0.62
124,4.133333333333334,Standing,False,True,True,0.9564,0.62
125,4.166666666666667,Standing,False,True,True,0.9568,0.62
126,4.2,Standing,False,True,True,0.9565,0.62
127,4.233333333333333,Standing,False,True,True,0.9578,0.62
128,4.266666666666667,Standing,False,True,True,0.9585,0.62
129,4.3,Standing,False,True,True,0.9587,0.62
130,4.333333333333333,Standing,False,True,True,0.959,0.62
131,4.366666666666666,Standing,False,True,True,0.9586,0.62
132,4.4,Standing,False,True,True,0.9577,0.62
133,4.433333333333334,Standing,False,True,True,0.9568,0.62
134,4.466666666666667,Standing,False,True,True,0.9561,0.62
135,4.5,Standing,False,True,True,0.9549,0.62
136,4.533333333333333,Standing,False,True,True,0.9538,0.62
137,4.566666666666666,Standing,False,True,True,0.953,0.62
138,4.6,Standing,False,True,True,0.9524,0.62
139,4.633333333333334,Standing,False,True,True,0.9516,0.62
140,4.666666666666667,Standing,False,True,True,0.9523,0.62
141,4.7,Standing,False,True,True,0.9531,0.62
142,4.733333333333333,Standing,False,True,True,0.9541,0.62
143,4.766666666666667,Standing,False,True,True,0.9554,0.62
144,4.8,Standing,False,True,True,0.9563,0.62
