clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Backward_fall,31,Standing,Standing,True,0.79,0.0,62.082
Backward_fall,32,Standing,Standing,True,0.813,0.0,57.658
Backward_fall,33,Standing,Standing,True,0.82,0.0,67.6304
Backward_fall,34,Standing,Standing,True,0.821,0.0,58.9208
Backward_fall,35,Standing,Standing,True,0.819,0.0,56.9272
Backward_fall,36,,Standing,,0.804,0.0,48.3078
Backward_fall,37,,Standing,,0.774,0.0,53.1951
Backward_fall,38,,Standing,,0.767,0.0,42.1003
Backward_fall,39,,Standing,,0.762,0.0,53.4506
Backward_fall,40,,Standing,,0.746,0.0,58.9019
Backward_fall,41,,Standing,,0.735,0.0,64.1438
Backward_fall,42,,Standing,,0.728,0.0,60.4539
Backward_fall,43,,Standing,,0.712,0.0,99.6029
Backward_fall,44,,Standing,,0.704,0.0,77.2367
Backward_fall,45,,Standing,,0.698,0.0,47.7923
Backward_fall,46,,Standing,,0.663,0.0,56.6416
Backward_fall,47,,Standing,,0.646,0.0,44.0473
Backward_fall,48,,Standing,,0.617,0.0,50.2125
Backward_fall,49,,Standing,,0.593,0.0,54.2313
Backward_fall,50,,Standing,,0.555,0.0,72.5544
Backward_fall,51,,Standing,,0.51,0.0,58.2904
Backward_fall,52,,Standing,,0.473,0.0,64.1468
Backward_fall,53,,Standing,,0.463,0.0,62.6096
Backward_fall,54,,Standing,,0.444,0.0,62.3153
Backward_fall,55,,Standing,,0.477,0.0,95.5053
Backward_fall,56,,Standing,,0.488,0.0,69.0963
Backward_fall,57,,Standing,,0.514,0.0,72.7665
Backward_fall,58,,Standing,,0.555,0.0,76.3891
Backward_fall,59,,Standing,,0.572,0.0,111.9991
Backward_fall,60,,Standing,,0.623,0.0,109.8252
Backward_fall,61,,Standing,,0.637,0.0,65.3846
Backward_fall,62,,Standing,,0.676,0.0,71.2254
Backward_fall,63,,Standing,,0.673,0.0,62.3182
Backward_fall,64,,Standing,,0.667,0.0,65.5955
Backward_fall,65,,Standing,,0.671,0.0,67.5282
Backward_fall,66,,Standing,,0.698,0.0,71.3914
Backward_fall,67,,Standing,,0.699,0.0,69.0263
Backward_fall,68,,Standing,,0.694,0.0,65.4018
Backward_fall,69,Lying,Standing,False,0.667,0.0,63.9985
Backward_fall,70,Lying,Standing,False,0.637,0.0,68.2996
Backward_fall,71,Lying,Standing,False,0.623,0.0,62.1354
Backward_fall,72,Lying,Standing,False,0.598,0.0,54.9188
Backward_fall,73,Lying,Standing,False,0.574,0.0,49.9609
Backward_fall,74,Lying,Standing,False,0.527,0.0,53.222
Backward_fall,75,Lying,Standing,False,0.505,0.0,64.7693
Backward_fall,76,Lying,Standing,False,0.485,0.0,63.4557
Backward_fall,77,Lying,Standing,False,0.481,0.0,57.2637
Backward_fall,78,Lying,Standing,False,0.503,0.0,41.541
Backward_fall,79,Lying,Standing,False,0.501,0.0,45.0423
Backward_fall,80,Lying,Standing,False,0.529,0.0,47.7473
Backward_fall,81,Lying,Standing,False,0.531,0.0,51.8698
Backward_fall,82,Lying,Standing,False,0.553,0.0,53.5659
Backward_fall,83,Lying,Standing,False,0.568,0.0,50.5135
Backward_fall,84,Lying,Standing,False,0.599,0.0,58.171
Backward_fall,85,Lying,Standing,False,0.619,0.0,70.1354
Backward_fall,86,Lying,Standing,False,0.627,0.0,47.196
Backward_fall,87,Lying,Standing,False,0.637,0.0,46.0576
Backward_fall,88,Lying,Standing,False,0.648,0.0,66.1435
Backward_fall,89,Lying,Standing,False,0.647,0.0,78.8402
Backward_fall,90,Lying,Standing,False,0.639,0.0,58.1027
Backward_fall,91,Lying,Standing,False,0.621,0.0,57.5576
Backward_fall,92,Lying,Standing,False,0.621,0.0,77.5718
Backward_fall,93,Lying,Standing,False,0.574,0.0,70.0162
Backward_fall,94,Lying,Standing,False,0.574,0.0,54.9001
Backward_fall,95,Lying,Standing,False,0.541,0.0,56.2643
Backward_fall,96,Lying,Standing,False,0.501,0.0,56.8303
Backward_fall,97,Lying,Standing,False,0.461,0.0,68.6785
Backward_fall,98,Lying,Standing,False,0.439,0.0,58.9363
Backward_fall,99,Lying,Standing,False,0.448,0.0,62.1171
Backward_fall,100,Lying,Standing,False,0.433,1.0,55.8132
Backward_fall,101,Lying,Standing,False,0.398,0.0,64.4474
Backward_fall,102,Lying,Standing,False,0.44,0.0,69.2384
