frame_number,timestamp,posture_label,fall_heuristic,fall_lstm,fall_hybrid,lstm_fall_prob,confidence
1,0.033374233128834356,Standing,False,False,False,0.0,0.55
2,0.06674846625766871,Standing,False,False,False,0.0,0.62
3,0.10012269938650306,Standing,False,False,False,0.0,0.62
4,0.13349693251533742,Standing,False,False,False,0.0,0.62
5,0.16687116564417176,Standing,False,False,False,0.0,0.62
6,0.20024539877300612,Standing,False,False,False,0.0,0.62
7,0.23361963190184049,Standing,False,False,False,0.0,0.62
8,0.26699386503067485,Standing,False,False,False,0.0,0.62
9,0.3003680981595092,Standing,False,False,False,0.0,0.62
10,0.3337423312883435,Standing,False,False,False,0.0,0.62
11,0.3671165644171779,Standing,False,False,False,0.0,0.62
12,0.40049079754601224,Standing,False,False,False,0.0,0.62
13,0.4338650306748466,Standing,False,False,False,0.0,0.62
14,0.46723926380368097,Standing,False,False,False,0.0,0.62
15,0.5006134969325153,Standing,False,False,False,0.0,0.62
16,0.5339877300613497,Standing,False,False,False,0.0,0.62
17,0.5673619631901841,Standing,False,False,False,0.0,0.62
18,0.6007361963190184,Standing,False,False,False,0.0,0.62
19,0.6341104294478527,Standing,False,False,False,0.0,0.62
20,0.667484662576687,Standing,False,False,False,0.0,0.62
21,0.7008588957055214,Standing,False,False,False,0.0,0.62
22,0.7342331288343558,Standing,False,False,False,0.0,0.62
23,0.7676073619631901,Standing,False,False,False,0.0,0.62
24,0.8009815950920245,Standing,False,False,False,0.0,0.62
25,0.8343558282208589,Standing,False,False,False,0.0,0.62
26,0.8677300613496932,Standing,False,False,False,0.0,0.62
27,0.9011042944785276,Standing,False,False,False,0.0,0.62
28,0.9344785276073619,Standing,False,False,False,0.0,0.62
29,0.9678527607361963,Standing,False,False,False,0.0,0.62
30,1.0012269938650307,Standing,False,False,False,0.0,0.62
31,1.034601226993865,Standing,False,False,False,0.0,0.62
32,1.0679754601226994,Standing,False,False,False,0.0,0.62
33,1.1013496932515336,Standing,False,False,False,0.0,0.62
34,1.1347239263803681,Standing,False,False,False,0.0,0.62
35,1.1680981595092024,Standing,False,False,False,0.0,0.62
36,1.2014723926380368,Standing,False,False,False,0.0,0.62
37,1.234846625766871,Standing,False,False,False,0.0,0.62
38,1.2682208588957053,Standing,False,False,False,0.0,0.62
39,1.3015950920245398,Standing,False,False,False,0.0,0.62
40,1.334969325153374,Standing,False,False,False,0.0,0.62
41,1.3683435582822085,Standing,False,False,False,0.0,0.62
42,1.4017177914110428,Standing,False,False,False,0.0,0.62
43,1.4350920245398773,Standing,False,False,False,0.0,0.62
44,1.4684662576687115,Standing,False,False,False,0.0,0.62
45,1.501840490797546,Standing,False,False,False,0.0,0.62
46,1.5352147239263803,Standing,False,False,False,0.038,0.62
47,1.5685889570552147,Standing,False,False,False,0.0341,0.62
48,1.601963190184049,Standing,False,False,False,0.0323,0.62
49,1.6353374233128835,Standing,False,False,False,0.0272,0.62
50,1.6687116564417177,Standing,False,False,False,0.0244,0.62
51,1.702085889570552,Standing,False,False,False,0.0221,0.62
52,1.7354601226993864,Standing,False,False,False,0.0209,0.62
53,1.7688343558282207,Standing,False,False,False,0.0192,0.62
54,1.8022085889570552,Standing,False,False,False,0.017,0.62
55,1.8355828220858894,Standing,False,False,False,0.0152,0.62
56,1.8689570552147239,Standing,False,False,False,0.0128,0.62
57,1.9023312883435581,Standing,False,False,False,0.0111,0.62
58,1.9357055214723926,Standing,False,False,False,0.0097,0.62
59,1.9690797546012269,Standing,False,False,False,0.0096,0.62
60,2.0024539877300613,Standing,False,False,False,0.01,0.62
61,2.0358282208588956,Standing,False,False,False,0.0122,0.62
62,2.06920245398773,Standing,False,False,False,0.0162,0.62
63,2.1025766871165645,Standing,False,False,False,0.0249,0.62
64,2.135950920245399,Standing,False,False,False,0.0355,0.62
65,2.169325153374233,Standing,False,False,False,0.0485,0.62
66,2.2026993865030673,Standing,False,False,False,0.0583,0.62
67,2.2360736196319015,Standing,False,False,False,0.071,0.62
68,2.2694478527607362,Standing,False,False,False,0.0842,0.62
69,2.3028220858895705,Standing,False,False,False,0.0934,0.62
70,2.3361963190184047,Standing,False,False,False,0.1095,0.62
71,2.369570552147239,Standing,False,False,False,0.125,0.62
72,2.4029447852760737,Standing,False,False,False,0.1328,0.62
73,2.436319018404908,Standing,False,False,False,0.1402,0.62
74,2.469693251533742,Standing,False,False,False,0.1421,0.62
75,2.5030674846625764,Standing,False,False,False,0.1389,0.62
76,2.5364417177914107,Standing,False,False,False,0.1354,0.62
77,2.5698159509202454,Standing,False,False,False,0.134,0.62
78,2.6031901840490796,Standing,False,False,False,0.1292,0.62
79,2.636564417177914,Standing,False,False,False,0.1232,0.62
80,2.669938650306748,Standing,False,False,False,0.1189,0.62
81,2.703312883435583,Standing,False,False,False,0.1159,0.62
82,2.736687116564417,Standing,False,False,False,0.1179,0.62
83,2.7700613496932514,Standing,False,False,False,0.1194,0.62
84,2.8034355828220856,Standing,False,False,False,0.1179,0.62
85,2.8368098159509203,Standing,False,False,False,0.1129,0.62
86,2.8701840490797546,Standing,False,False,False,0.1072,0.62
87,2.903558282208589,Standing,False,False,False,0.105,0.62
88,2.936932515337423,Standing,False,False,False,0.1011,0.62
89,2.9703067484662573,Standing,False,False,False,0.0778,0.62
90,3.003680981595092,Standing,False,False,False,0.0447,0.62
91,3.0370552147239263,Standing,False,False,False,0.0268,0.62
92,3.0704294478527605,Standing,False,False,False,0.0216,0.62
93,3.1038036809815948,Standing,False,False,False,0.0285,0.62
94,3.1371779141104295,Standing,False,False,False,0.0383,0.62
95,3.1705521472392637,Standing,False,False,False,0.0556,0.62
96,3.203926380368098,Standing,False,False,False,0.0801,0.62
97,3.237300613496932,Standing,False,False,False,0.0892,0.62
98,3.270674846625767,Standing,False,False,False,0.0752,0.62
99,3.304049079754601,Standing,False,False,False,0.0569,0.62
100,3.3374233128834354,Standing,False,False,False,0.0452,0.62
101,3.3707975460122697,Standing,False,False,False,0.0284,0.62
102,3.404171779141104,Standing,False,False,False,0.0258,0.62
103,3.4375460122699386,Standing,False,False,False,0.0173,0.62
104,3.470920245398773,Standing,False,False,False,0.0125,0.62
105,3.504294478527607,Standing,False,False,False,0.0089,0.62
106,3.5376687116564414,Standing,False,False,False,0.0059,0.62
107,3.571042944785276,Standing,False,False,False,0.0042,0.62
108,3.6044171779141103,Standing,False,False,False,0.0028,0.62
109,3.6377914110429446,Standing,False,False,False,0.0021,0.62
110,3.671165644171779,Standing,False,False,False,0.0015,0.62
111,3.7045398773006135,Standing,False,False,False,0.0012,0.62
112,3.7379141104294478,Standing,False,False,False,0.001,0.62
113,3.771288343558282,Standing,False,False,False,0.0009,0.62
114,3.8046625766871163,Standing,False,False,False,0.0008,0.62
115,3.8380368098159505,Standing,False,False,False,0.0007,0.62
116,3.871411042944785,Standing,False,False,False,0.0006,0.62
117,3.9047852760736195,Standing,False,False,False,0.0008,0.62
118,3.9381595092024537,Standing,False,False,False,0.0011,0.62
119,3.971533742331288,Standing,False,False,False,0.0011,0.62
120,4.004907975460123,Standing,False,False,False,0.0019,0.62
121,4.0382822085889565,Standing,False,False,False,0.0046,0.62
122,4.071656441717791,Standing,False,False,False,0.015,0.62
123,4.105030674846626,Standing,False,False,False,0.0227,0.62
124,4.13840490797546,Standing,False,False,False,0.0223,0.62
125,4.171779141104294,Standing,False,False,False,0.022,0.62
126,4.205153374233129,Standing,False,False,False,0.0244,0.62
127,4.238527607361963,Standing,False,False,False,0.0294,0.62
128,4.271901840490798,Standing,False,False,False,0.0302,0.62
129,4.305276073619631,Standing,False,False,False,0.0333,0.62
130,4.338650306748466,Standing,False,False,False,0.0349,0.62
131,4.372024539877301,Standing,False,False,False,0.0331,0.62
132,4.405398773006135,Standing,False,False,False,0.0336,0.62
133,4.438773006134969,Standing,False,False,False,0.0373,0.62
134,4.472147239263803,Standing,False,False,False,0.0401,0.62
135,4.505521472392638,Standing,False,False,False,0.0396,0.62
136,4.5388957055214725,Standing,False,False,False,0.0387,0.62
137,4.572269938650306,Standing,False,False,False,0.0411,0.62
138,4.605644171779141,Standing,False,False,False,0.0464,0.62
139,4.639018404907975,Standing,False,False,False,0.065,0.62
